technology,capacity_type,location,0
hard_coal_plant_CCS,power,EE,2.1591128525582959e-13
hard_coal_plant_CCS,power,EL,2.1591128525582959e-13
hard_coal_plant_CCS,power,ES,2.1591128525582959e-13
hard_coal_plant_CCS,power,FI,2.1591128525582959e-13
hard_coal_plant_CCS,power,FR,2.1591128525582959e-13
hard_coal_plant_CCS,power,HR,2.1591128525582959e-13
hard_coal_plant_CCS,power,HU,2.1591128525582959e-13
hard_coal_plant_CCS,power,IE,2.1591128525582959e-13
hard_coal_plant_CCS,power,IT,2.1591128525582959e-13
hard_coal_plant_CCS,power,LT,2.1591128525582959e-13
hard_coal_plant_CCS,power,LU,2.1591128525582959e-13
hard_coal_plant_CCS,power,LV,2.1591128525582959e-13
hard_coal_plant_CCS,power,NL,2.1591128525582959e-13
hard_coal_plant_CCS,power,NO,2.1591128525582959e-13
hard_coal_plant_CCS,power,PL,2.1591128525582959e-13
hard_coal_plant_CCS,power,PT,2.1591128525582959e-13
hard_coal_plant_CCS,power,RO,2.1591128525582959e-13
hard_coal_plant_CCS,power,SE,2.1591128525582959e-13
hard_coal_plant_CCS,power,SI,2.1591128525582959e-13
hard_coal_plant_CCS,power,SK,2.1591128525582959e-13
hard_coal_plant_CCS,power,UK,2.1591128525582959e-13
heat_pump,power,AT,25.664990835316903
heat_pump,power,BE,37.91710381257422
heat_pump,power,BG,10.324529838565825
heat_pump,power,CH,34.773841316696036
heat_pump,power,CZ,30.442921108714685
heat_pump,power,DE,241.6192368844594
heat_pump,power,DK,1.5733249477382345
heat_pump,power,EE,0.052839136368564146
heat_pump,power,EL,5.748965667054354
heat_pump,power,ES,38.79964332156871
heat_pump,power,FI,4.176062775742891
heat_pump,power,FR,156.39968943615176
heat_pump,power,HR,8.995713795611541
heat_pump,power,HU,28.30847527259363
heat_pump,power,IE,9.702672416913712
heat_pump,power,IT,20.690638947927688
heat_pump,power,LT,0.14097717609922444
heat_pump,power,LU,2.6855465207930638
heat_pump,power,LV,0.06846608819657134
heat_pump,power,NL,10.180888486080033
heat_pump,power,NO,9.000666137117708
heat_pump,power,PL,1.5136973471618145
heat_pump,power,PT,3.0422609958795146
heat_pump,power,RO,13.187100006243282
heat_pump,power,SE,6.8605779315057065
heat_pump,power,SI,4.049538436671661
heat_pump,power,SK,8.441271672400077
heat_pump,power,UK,5.704927826970869
lignite_coal_plant,power,AT,3.959607687615637e-13
lignite_coal_plant,power,BE,3.959607687615637e-13
lignite_coal_plant,power,BG,1.4991000000003958
lignite_coal_plant,power,CH,3.959607687615637e-13
lignite_coal_plant,power,CZ,0.4766000000003959
lignite_coal_plant,power,DE,10.917850000000394
lignite_coal_plant,power,DK,3.959607687615637e-13
lignite_coal_plant,power,EE,3.959607687615637e-13
lignite_coal_plant,power,EL,2.022500000000396
lignite_coal_plant,power,ES,0.06500000000039596
lignite_coal_plant,power,FI,3.959607687615637e-13
lignite_coal_plant,power,FR,3.959607687615637e-13
lignite_coal_plant,power,HR,3.959607687615637e-13
lignite_coal_plant,power,HU,3.959607687615637e-13
lignite_coal_plant,power,IE,3.959607687615637e-13
lignite_coal_plant,power,IT,3.959607687615637e-13
lignite_coal_plant,power,LT,3.959607687615637e-13
lignite_coal_plant,power,LU,3.959607687615637e-13
lignite_coal_plant,power,LV,3.959607687615637e-13
lignite_coal_plant,power,NL,3.959607687615637e-13
lignite_coal_plant,power,NO,3.959607687615637e-13
lignite_coal_plant,power,PL,5.504000000000397
lignite_coal_plant,power,PT,3.959607687615637e-13
lignite_coal_plant,power,RO,1.317200000000396
lignite_coal_plant,power,SE,3.959607687615637e-13
lignite_coal_plant,power,SI,3.959607687615637e-13
lignite_coal_plant,power,SK,3.959607687615637e-13
lignite_coal_plant,power,UK,3.959607687615637e-13
lng_terminal,power,AT,0.0
lng_terminal,power,BE,18.98233195066589
lng_terminal,power,BG,0.0
lng_terminal,power,CH,0.0
lng_terminal,power,CZ,0.0
lng_terminal,power,DE,3.9022000000101977
lng_terminal,power,DK,0.0
lng_terminal,power,EE,2.917000000010435
lng_terminal,power,EL,8.775858753350128
lng_terminal,power,ES,81.59626919712781
lng_terminal,power,FI,3.117000000010402
lng_terminal,power,FR,52.035931342809995
lng_terminal,power,HR,2.8996000000104374
lng_terminal,power,HU,0.0
lng_terminal,power,IE,0.0
lng_terminal,power,IT,21.971675564942498
lng_terminal,power,LT,5.359466051319985
lng_terminal,power,LU,0.0
lng_terminal,power,LV,0.0
lng_terminal,power,NL,19.686962945459666
lng_terminal,power,NO,0.0
lng_terminal,power,PL,6.914000000009689
lng_terminal,power,PT,8.233506411902814
lng_terminal,power,RO,0.0
lng_terminal,power,SE,0.0
lng_terminal,power,SI,0.0
lng_terminal,power,SK,0.0
lng_terminal,power,UK,55.26015195535116
natural_gas_boiler,power,AT,5.9441600661347405
natural_gas_boiler,power,BE,18.27492187382369
natural_gas_boiler,power,BG,0.8275148050967084
natural_gas_boiler,power,CH,8.053822431776263
natural_gas_boiler,power,CZ,10.323180311370416
natural_gas_boiler,power,DE,108.09330897622304
natural_gas_boiler,power,DK,3.4978843498919314
natural_gas_boiler,power,EE,0.4822848334818993
natural_gas_boiler,power,EL,3.5846936721694695
natural_gas_boiler,power,ES,13.093477930476125
natural_gas_boiler,power,FI,0.11817133494447005
natural_gas_boiler,power,FR,50.688594136524806
natural_gas_boiler,power,HR,2.8189907096735998
natural_gas_boiler,power,HU,16.17665838824624
natural_gas_boiler,power,IE,2.968257863370785
natural_gas_boiler,power,IT,89.24745785456588
natural_gas_boiler,power,LT,1.0094643192976307
natural_gas_boiler,power,LU,0.9801753717819282
natural_gas_boiler,power,LV,0.6680949773586612
natural_gas_boiler,power,NL,32.46096663306909
natural_gas_boiler,power,NO,0.11738241881168136
natural_gas_boiler,power,PL,16.12909585537733
natural_gas_boiler,power,PT,0.4986230706200449
natural_gas_boiler,power,RO,5.5762033971745435
natural_gas_boiler,power,SE,0.2752451267845339
natural_gas_boiler,power,SI,0.4614752551816331
natural_gas_boiler,power,SK,4.061659259316792
natural_gas_boiler,power,UK,98.45611988677595
natural_gas_turbine,power,AT,0.953500000000892
natural_gas_turbine,power,BE,3.1971000000008867
natural_gas_turbine,power,BG,0.018000000001193155
natural_gas_turbine,power,CH,0.052250000000829785
natural_gas_turbine,power,CZ,0.9419500000008901
natural_gas_turbine,power,DE,12.058915800000857
natural_gas_turbine,power,DK,0.21550000000092107
natural_gas_turbine,power,EE,0.5206000000008915
natural_gas_turbine,power,EL,3.3700420000008817
natural_gas_turbine,power,ES,22.555064000000865
natural_gas_turbine,power,FI,1.754058087881691e-12
natural_gas_turbine,power,FR,7.603791000000852
natural_gas_turbine,power,HR,1.7507242982454902e-12
natural_gas_turbine,power,HU,3.762600000000879
natural_gas_turbine,power,IE,2.7875050000008867
natural_gas_turbine,power,IT,34.58381300000089
natural_gas_turbine,power,LT,0.10360000000098611
natural_gas_turbine,power,LU,0.3764000000008851
natural_gas_turbine,power,LV,0.051924450000842386
natural_gas_turbine,power,NL,13.194000000000859
natural_gas_turbine,power,NO,0.6900000000008912
natural_gas_turbine,power,PL,1.7704500000008834
natural_gas_turbine,power,PT,4.298863000000873
natural_gas_turbine,power,RO,1.187200000000887
natural_gas_turbine,power,SE,0.7080000000008908
natural_gas_turbine,power,SI,1.7556976525746574e-12
natural_gas_turbine,power,SK,0.31898700000087105
natural_gas_turbine,power,UK,30.932429000000884
natural_gas_turbine_CCS,power,AT,6.937646081996494e-13
natural_gas_turbine_CCS,power,BE,6.684065662330108e-13
natural_gas_turbine_CCS,power,BG,6.951893913618348e-13
natural_gas_turbine_CCS,power,CH,6.953080427297021e-13
natural_gas_turbine_CCS,power,CZ,6.947394169003993e-13
natural_gas_turbine_CCS,power,DE,6.679972112942833e-13
natural_gas_turbine_CCS,power,DK,6.681157770322352e-13
natural_gas_turbine_CCS,power,EE,6.933172964310539e-13
natural_gas_turbine_CCS,power,EL,6.679656851958541e-13
natural_gas_turbine_CCS,power,ES,6.953535500337673e-13
natural_gas_turbine_CCS,power,FI,6.679283892312429e-13
natural_gas_turbine_CCS,power,FR,6.943867594948204e-13
natural_gas_turbine_CCS,power,HR,6.680897772328386e-13
natural_gas_turbine_CCS,power,HU,6.951774448605124e-13
natural_gas_turbine_CCS,power,IE,6.680134093155337e-13
natural_gas_turbine_CCS,power,IT,6.678238938743722e-13
natural_gas_turbine_CCS,power,LT,6.92999529401873e-13
natural_gas_turbine_CCS,power,LU,6.953231041400678e-13
natural_gas_turbine_CCS,power,LV,6.958462393185512e-13
natural_gas_turbine_CCS,power,NL,6.678795903862889e-13
natural_gas_turbine_CCS,power,NO,6.677896077421955e-13
natural_gas_turbine_CCS,power,PL,6.954639442926148e-13
natural_gas_turbine_CCS,power,PT,6.950898189192978e-13
natural_gas_turbine_CCS,power,RO,6.96025791713683e-13
natural_gas_turbine_CCS,power,SE,6.676531895098848e-13
natural_gas_turbine_CCS,power,SI,6.961288942145646e-13
natural_gas_turbine_CCS,power,SK,6.961072442429661e-13
natural_gas_turbine_CCS,power,UK,6.783648176320374e-13
nuclear,power,AT,0.0
nuclear,power,BE,5.943
nuclear,power,BG,4.022
nuclear,power,CH,2.92
nuclear,power,CZ,2.056
nuclear,power,DE,6.615
nuclear,power,DK,0.0
nuclear,power,EE,0.0
nuclear,power,EL,0.0
nuclear,power,ES,7.163
nuclear,power,FI,3.301
nuclear,power,FR,61.65000000000015
nuclear,power,HR,0.0
nuclear,power,HU,2.0
nuclear,power,IE,0.0
nuclear,power,IT,0.0
nuclear,power,LT,0.0
nuclear,power,LU,0.0
nuclear,power,LV,0.0
nuclear,power,NL,0.482
nuclear,power,NO,0.0
nuclear,power,PL,0.0
nuclear,power,PT,0.0
nuclear,power,RO,2.74
nuclear,power,SE,6.96
nuclear,power,SI,0.696
nuclear,power,SK,2.684
nuclear,power,UK,6.848000000000001
oil_boiler,power,AT,3.669665780227122
oil_boiler,power,BE,10.48652155963479
oil_boiler,power,BG,0.6842391578761493
oil_boiler,power,CH,4.972079528324512
oil_boiler,power,CZ,1.3283956532532464
oil_boiler,power,DE,59.25931656712698
oil_boiler,power,DK,2.295150292804506
oil_boiler,power,EE,0.3865682367590206
oil_boiler,power,EL,8.878535811124838
oil_boiler,power,ES,12.643115209080852
oil_boiler,power,FI,2.5908608864817184
oil_boiler,power,FR,30.301554512227227
oil_boiler,power,HR,1.293650695622536
oil_boiler,power,HU,1.9758131125296108
oil_boiler,power,IE,4.910680244558639
oil_boiler,power,IT,16.29806013499657
oil_boiler,power,LT,0.4244288746604728
oil_boiler,power,LU,0.7883212237755779
oil_boiler,power,LV,0.7098402391908506
oil_boiler,power,NL,2.803599356799172
oil_boiler,power,NO,1.6664557568423746
oil_boiler,power,PL,9.717168762323576
oil_boiler,power,PT,0.9531903069619688
oil_boiler,power,RO,1.3681551808793442
oil_boiler,power,SE,1.422892359413529
oil_boiler,power,SI,1.1050255524121817
oil_boiler,power,SK,0.17583928287987008
oil_boiler,power,UK,18.932657596707262
oil_plant,power,AT,3.453092527928318e-13
oil_plant,power,BE,3.453092527928318e-13
oil_plant,power,BG,3.453092527928318e-13
oil_plant,power,CH,3.453092527928318e-13
oil_plant,power,CZ,0.00040000000034530925
oil_plant,power,DE,0.4642000000003452
oil_plant,power,DK,3.453092527928318e-13
oil_plant,power,EE,0.03500000000034531
oil_plant,power,EL,0.1268600000003453
oil_plant,power,ES,1.333460000000345
oil_plant,power,FI,0.32600000000034535
oil_plant,power,FR,0.5088400000003451
oil_plant,power,HR,3.453092527928318e-13
oil_plant,power,HU,3.453092527928318e-13
oil_plant,power,IE,0.2142000000003453
oil_plant,power,IT,0.8060000000003453
oil_plant,power,LT,3.453092527928318e-13
oil_plant,power,LU,3.453092527928318e-13
oil_plant,power,LV,3.453092527928318e-13
oil_plant,power,NL,3.453092527928318e-13
oil_plant,power,NO,3.453092527928318e-13
oil_plant,power,PL,3.453092527928318e-13
oil_plant,power,PT,0.1117120000003453
oil_plant,power,RO,0.02280000000034531
oil_plant,power,SE,3.453092527928318e-13
oil_plant,power,SI,3.453092527928318e-13
oil_plant,power,SK,3.453092527928318e-13
oil_plant,power,UK,0.32105000000034534
photovoltaics,power,AT,2.742218000401538
photovoltaics,power,BE,6.870304382301553
photovoltaics,power,BG,1.2929443970015546
photovoltaics,power,CH,3.645929011201591
photovoltaics,power,CZ,2.1520400122015446
photovoltaics,power,DE,61.051245834701525
photovoltaics,power,DK,2.0375130087015387
photovoltaics,power,EE,0.37000000000159244
photovoltaics,power,EL,4.157394962301556
photovoltaics,power,ES,18.026789759001506
photovoltaics,power,FI,0.38635000040157574
photovoltaics,power,FR,13.73139836880148
photovoltaics,power,HR,0.11900000000155246
photovoltaics,power,HU,2.957356994601557
photovoltaics,power,IE,0.14400000000154622
photovoltaics,power,IT,22.550363770701537
photovoltaics,power,LT,0.16900000000154147
photovoltaics,power,LU,1.4274093850618627e-12
photovoltaics,power,LV,1.5545625696847586e-12
photovoltaics,power,NL,14.205800147101542
photovoltaics,power,NO,0.22249999710157758
photovoltaics,power,PL,7.780100097701532
photovoltaics,power,PT,1.7750980625015402
photovoltaics,power,RO,1.4261810303015459
photovoltaics,power,SE,1.681232943001538
photovoltaics,power,SI,0.3967119977015921
photovoltaics,power,SK,0.5744881159015428
photovoltaics,power,UK,14.243093142401557
reservoir_hydro,power,AT,5.142919999999998
reservoir_hydro,power,BE,0.01273566879
reservoir_hydro,power,BG,1.1755653086426703
reservoir_hydro,power,CH,9.53123
reservoir_hydro,power,CZ,0.711483902285
reservoir_hydro,power,DE,0.1894999999965895
reservoir_hydro,power,DK,0.0
reservoir_hydro,power,EE,0.0
reservoir_hydro,power,EL,2.4421528706087883
reservoir_hydro,power,ES,10.996152000000478
reservoir_hydro,power,FI,1.345
reservoir_hydro,power,FR,4.126736542371489
reservoir_hydro,power,HR,1.327624458599
reservoir_hydro,power,HU,0.028
reservoir_hydro,power,IE,0.0
reservoir_hydro,power,IT,5.48524
reservoir_hydro,power,LT,0.101
reservoir_hydro,power,LU,0.0
reservoir_hydro,power,LV,0.884
reservoir_hydro,power,NL,0.0
reservoir_hydro,power,NO,23.540683000001128
reservoir_hydro,power,PL,0.418353910828
reservoir_hydro,power,PT,0.9343946488299557
reservoir_hydro,power,RO,5.303480127399769
reservoir_hydro,power,SE,4.0709967459477285
reservoir_hydro,power,SI,0.47022392947169206
reservoir_hydro,power,SK,0.8044000000000001
reservoir_hydro,power,UK,0.524
run-of-river_hydro,power,AT,6.0759
run-of-river_hydro,power,BE,0.059015339742999565
run-of-river_hydro,power,BG,1.4653137507592594e-12
run-of-river_hydro,power,CH,4.872319999999999
run-of-river_hydro,power,CZ,1.0777111960421415e-12
run-of-river_hydro,power,DE,2.703905009999585
run-of-river_hydro,power,DK,0.0
run-of-river_hydro,power,EE,0.0
run-of-river_hydro,power,EL,1.088276759405064e-12
run-of-river_hydro,power,ES,0.41929000000049094
run-of-river_hydro,power,FI,1.475863575300754e-12
run-of-river_hydro,power,FR,1.598848460060045
run-of-river_hydro,power,HR,1.2743462853785206e-12
run-of-river_hydro,power,HU,0.01969999999986824
run-of-river_hydro,power,IE,0.21599999999971614
run-of-river_hydro,power,IT,1.1680669259165958e-12
run-of-river_hydro,power,LT,3.7410286188911003e-13
run-of-river_hydro,power,LU,0.0
run-of-river_hydro,power,LV,0.40200000000037306
run-of-river_hydro,power,NL,0.0
run-of-river_hydro,power,NO,0.0
run-of-river_hydro,power,PL,3.671527793189521e-13
run-of-river_hydro,power,PT,1.0630000000006394
run-of-river_hydro,power,RO,1.1609999999997522
run-of-river_hydro,power,SE,1.627101227621235e-12
run-of-river_hydro,power,SI,0.3670210000005361
run-of-river_hydro,power,SK,0.619839999997495
run-of-river_hydro,power,UK,0.1000000000003401
waste_plant,power,AT,1.1166621221853025e-13
waste_plant,power,BE,0.0025000000001116664
waste_plant,power,BG,1.1166621221853025e-13
