technology,capacity_type,location,year,none
biomass_boiler,power,CZ,13,0.274828512
biomass_boiler,power,CZ,14,0.274828568
biomass_boiler,power,DE,0,23.15749439
biomass_boiler,power,DE,1,22.18921953
biomass_boiler,power,DE,2,15.85437347
biomass_boiler,power,DE,3,14.60968008
biomass_boiler,power,DE,4,11.33277132
biomass_boiler,power,DE,5,8.650569665
biomass_boiler,power,DE,6,8.650569668
biomass_boiler,power,DE,7,4.591445463
biomass_boiler,power,DE,8,1.512492647
biomass_boiler,power,DE,9,0.52023131
biomass_boiler,power,DE,10,0.520231315
biomass_boiler,power,DE,11,0.520231323
biomass_boiler,power,DE,12,0.520231336
biomass_boiler,power,DE,13,0.520231358
biomass_boiler,power,DE,14,0.520231413
biomass_boiler,power,DK,0,3.011171776
biomass_boiler,power,DK,1,2.499789326
biomass_boiler,power,DK,2,1.627739985
biomass_boiler,power,DK,3,1.592749517
biomass_boiler,power,DK,4,1.51655889
biomass_boiler,power,DK,5,1.313610293
biomass_boiler,power,DK,6,0.816083434
biomass_boiler,power,DK,7,0.565039901
biomass_boiler,power,DK,8,0.51039537
biomass_boiler,power,DK,9,0.097669461
biomass_boiler,power,DK,10,0.097669464
biomass_boiler,power,DK,11,0.097669468
biomass_boiler,power,DK,12,0.097669475
biomass_boiler,power,DK,13,0.097669487
biomass_boiler,power,DK,14,0.097669527
biomass_boiler,power,EE,0,1.20250879
biomass_boiler,power,EE,1,1.202508791
biomass_boiler,power,EE,2,0.965887113
biomass_boiler,power,EE,3,0.873676131
biomass_boiler,power,EE,4,0.873676133
biomass_boiler,power,EE,5,0.799327419
biomass_boiler,power,EE,6,0.273634152
biomass_boiler,power,EE,7,0.104120237
biomass_boiler,power,EE,8,0.097111319
biomass_boiler,power,EE,9,2.74E-08
biomass_boiler,power,EE,10,3.51E-08
biomass_boiler,power,EE,11,4.40E-08
biomass_boiler,power,EE,12,5.62E-08
biomass_boiler,power,EE,13,7.62E-08
biomass_boiler,power,EE,14,1.45E-07
biomass_boiler,power,EL,0,3.320676165
biomass_boiler,power,EL,1,3.320676166
biomass_boiler,power,EL,2,3.320676168
biomass_boiler,power,EL,3,3.320676169
biomass_boiler,power,EL,4,2.606512791
biomass_boiler,power,EL,5,0.268611347
biomass_boiler,power,EL,6,0.26861135
biomass_boiler,power,EL,7,0.268611354
biomass_boiler,power,EL,8,2.25E-08
biomass_boiler,power,EL,9,2.93E-08
biomass_boiler,power,EL,10,3.60E-08
biomass_boiler,power,EL,11,4.42E-08
biomass_boiler,power,EL,12,5.56E-08
biomass_boiler,power,EL,13,7.46E-08
biomass_boiler,power,EL,14,1.40E-07
biomass_boiler,power,ES,0,4.149006673
biomass_boiler,power,ES,1,3.85531027
biomass_boiler,power,ES,2,3.257026327
biomass_boiler,power,ES,3,1.782953126
biomass_boiler,power,ES,4,1.145296473
biomass_boiler,power,ES,5,0.560040872
biomass_boiler,power,ES,6,0.244591308
biomass_boiler,power,ES,7,0.244591312
biomass_boiler,power,ES,8,0.032621584
biomass_boiler,power,ES,9,3.08E-08
biomass_boiler,power,ES,10,3.91E-08
biomass_boiler,power,ES,11,4.88E-08
biomass_boiler,power,ES,12,6.14E-08
biomass_boiler,power,ES,13,8.20E-08
biomass_boiler,power,ES,14,1.47E-07
biomass_boiler,power,FI,0,2.816487386
biomass_boiler,power,FI,1,2.264185689
biomass_boiler,power,FI,2,1.882425888
biomass_boiler,power,FI,3,1.220726676
biomass_boiler,power,FI,4,0.916090222
biomass_boiler,power,FI,5,0.60138698
biomass_boiler,power,FI,6,0.575428505
biomass_boiler,power,FI,7,0.376096153
biomass_boiler,power,FI,8,0.275196968
biomass_boiler,power,FI,9,0.090475655
biomass_boiler,power,FI,10,0.090475658
biomass_boiler,power,FI,11,0.090475662
biomass_boiler,power,FI,12,0.090475669
biomass_boiler,power,FI,13,0.090475681
biomass_boiler,power,FI,14,0.090475721
biomass_boiler,power,FR,0,16.55564397
biomass_boiler,power,FR,1,14.68388211
biomass_boiler,power,FR,2,11.82342139
biomass_boiler,power,FR,3,9.861687854
biomass_boiler,power,FR,4,4.866549376
biomass_boiler,power,FR,5,2.140123276
biomass_boiler,power,FR,6,1.702234677
biomass_boiler,power,FR,7,0.691995363
biomass_boiler,power,FR,8,4.27E-08
biomass_boiler,power,FR,9,5.62E-08
biomass_boiler,power,FR,10,6.85E-08
biomass_boiler,power,FR,11,8.32E-08
biomass_boiler,power,FR,12,1.01E-07
biomass_boiler,power,FR,13,1.29E-07
biomass_boiler,power,FR,14,2.07E-07
biomass_boiler,power,HR,0,3.165105057
biomass_boiler,power,HR,1,2.905301255
biomass_boiler,power,HR,2,2.641824251
biomass_boiler,power,HR,3,2.377550141
biomass_boiler,power,HR,4,0.656933467
biomass_boiler,power,HR,5,0.333952271
biomass_boiler,power,HR,6,0.157778335
biomass_boiler,power,HR,7,0.092590314
biomass_boiler,power,HR,8,0.092590319
biomass_boiler,power,HR,9,2.73E-08
biomass_boiler,power,HR,10,3.50E-08
biomass_boiler,power,HR,11,4.35E-08
biomass_boiler,power,HR,12,5.53E-08
biomass_boiler,power,HR,13,7.48E-08
biomass_boiler,power,HR,14,1.41E-07
biomass_boiler,power,HU,0,4.300547305
biomass_boiler,power,HU,1,4.300547306
biomass_boiler,power,HU,2,3.608741174
biomass_boiler,power,HU,3,2.334826092
