carrier,node,time_operation,none
carbon,RO,4,0.0
carbon,RO,5,0.0
carbon,RO,6,0.0
carbon,RO,7,0.0
carbon,RO,8,0.0
carbon,RO,9,0.0
carbon,RO,10,0.0
carbon,RO,11,0.0
carbon,RO,12,0.0
carbon,RO,13,0.0
carbon,RO,14,0.0
carbon,SE,0,0.0
carbon,SE,1,0.0
carbon,SE,2,0.0
carbon,SE,3,0.0
carbon,SE,4,0.0
carbon,SE,5,0.0
carbon,SE,6,0.0
carbon,SE,7,0.0
carbon,SE,8,0.0
carbon,SE,9,0.0
carbon,SE,10,0.0
carbon,SE,11,0.0
carbon,SE,12,0.0
carbon,SE,13,0.0
carbon,SE,14,0.0
carbon,SI,0,0.0
carbon,SI,1,0.0
carbon,SI,2,0.0
carbon,SI,3,0.0
carbon,SI,4,0.0
carbon,SI,5,0.0
carbon,SI,6,0.0
carbon,SI,7,0.0
carbon,SI,8,0.0
carbon,SI,9,0.0
carbon,SI,10,0.0
carbon,SI,11,0.0
carbon,SI,12,0.0
carbon,SI,13,0.0
carbon,SI,14,0.0
carbon,SK,0,0.0
carbon,SK,1,0.0
carbon,SK,2,0.0
carbon,SK,3,0.0
carbon,SK,4,0.0
carbon,SK,5,0.0
carbon,SK,6,0.0
carbon,SK,7,0.0
carbon,SK,8,0.0
carbon,SK,9,0.0
carbon,SK,10,0.0
carbon,SK,11,0.0
carbon,SK,12,0.0
carbon,SK,13,0.0
carbon,SK,14,0.0
carbon,UK,0,0.0
carbon,UK,1,0.0
carbon,UK,2,0.0
carbon,UK,3,0.0
carbon,UK,4,0.0
carbon,UK,5,0.0
carbon,UK,6,0.0
carbon,UK,7,0.0
carbon,UK,8,0.0
carbon,UK,9,0.0
carbon,UK,10,0.0
carbon,UK,11,0.0
carbon,UK,12,0.0
carbon,UK,13,0.0
carbon,UK,14,0.0
electricity,AT,0,0.0
electricity,AT,1,0.0
electricity,AT,2,0.0
electricity,AT,3,0.0
electricity,AT,4,0.0
electricity,AT,5,0.0
electricity,AT,6,0.0
electricity,AT,7,0.0
electricity,AT,8,0.0
electricity,AT,9,0.0
electricity,AT,10,0.0
electricity,AT,11,0.0
electricity,AT,12,0.0
electricity,AT,13,0.0
electricity,AT,14,0.0
electricity,BE,0,0.0
electricity,BE,1,0.0
electricity,BE,2,0.0
electricity,BE,3,0.0
electricity,BE,4,0.0
electricity,BE,5,0.0
electricity,BE,6,0.0
electricity,BE,7,0.0
electricity,BE,8,0.0
electricity,BE,9,0.0
electricity,BE,10,0.0
electricity,BE,11,0.0
electricity,BE,12,0.0
electricity,BE,13,0.0
electricity,BE,14,0.0
electricity,BG,0,0.0
electricity,BG,1,0.0
electricity,BG,2,0.0
electricity,BG,3,0.0
electricity,BG,4,0.0
electricity,BG,5,0.0
electricity,BG,6,0.0
electricity,BG,7,0.0
electricity,BG,8,0.0
electricity,BG,9,0.0
electricity,BG,10,0.0
electricity,BG,11,0.0
electricity,BG,12,0.0
electricity,BG,13,0.0
electricity,BG,14,0.0
electricity,CH,0,0.0
electricity,CH,1,0.0
electricity,CH,2,0.0
electricity,CH,3,0.0
electricity,CH,4,0.0
electricity,CH,5,0.0
electricity,CH,6,0.0
electricity,CH,7,0.0
electricity,CH,8,0.0
electricity,CH,9,0.0
electricity,CH,10,0.0
electricity,CH,11,0.0
electricity,CH,12,0.0
electricity,CH,13,0.0
electricity,CH,14,0.0
electricity,CZ,0,0.0
electricity,CZ,1,0.0
electricity,CZ,2,0.0
electricity,CZ,3,0.0
electricity,CZ,4,0.0
electricity,CZ,5,0.0
electricity,CZ,6,0.0
electricity,CZ,7,0.0
electricity,CZ,8,0.0
electricity,CZ,9,0.0
electricity,CZ,10,0.0
electricity,CZ,11,0.0
electricity,CZ,12,0.0
electricity,CZ,13,0.0
electricity,CZ,14,0.0
electricity,DE,0,0.0
electricity,DE,1,0.0
electricity,DE,2,0.0
electricity,DE,3,0.0
electricity,DE,4,0.0
electricity,DE,5,0.0
electricity,DE,6,0.0
electricity,DE,7,0.0
electricity,DE,8,0.0
electricity,DE,9,0.0
electricity,DE,10,0.0
electricity,DE,11,0.0
electricity,DE,12,0.0
electricity,DE,13,0.0
electricity,DE,14,0.0
electricity,DK,0,0.0
electricity,DK,1,0.0
electricity,DK,2,0.0
electricity,DK,3,0.0
electricity,DK,4,0.0
electricity,DK,5,0.0
electricity,DK,6,0.0
electricity,DK,7,0.0
electricity,DK,8,0.0
electricity,DK,9,0.0
electricity,DK,10,0.0
electricity,DK,11,0.0
electricity,DK,12,0.0
electricity,DK,13,0.0
electricity,DK,14,0.0
electricity,EE,0,0.0
electricity,EE,1,0.0
electricity,EE,2,0.0
electricity,EE,3,0.0
electricity,EE,4,0.0
electricity,EE,5,0.0
electricity,EE,6,0.0
electricity,EE,7,0.0
electricity,EE,8,0.0
electricity,EE,9,0.0
electricity,EE,10,0.0
electricity,EE,11,0.0
electricity,EE,12,0.0
electricity,EE,13,0.0
electricity,EE,14,0.0
electricity,EL,0,0.0
electricity,EL,1,0.0
electricity,EL,2,0.0
electricity,EL,3,0.0
electricity,EL,4,0.0
electricity,EL,5,0.0
electricity,EL,6,0.0
electricity,EL,7,0.0
electricity,EL,8,0.0
electricity,EL,9,0.0
electricity,EL,10,0.0
electricity,EL,11,0.0
electricity,EL,12,0.0
electricity,EL,13,0.0
electricity,EL,14,0.0
electricity,ES,0,0.0
electricity,ES,1,0.0
electricity,ES,2,0.0
electricity,ES,3,0.0
electricity,ES,4,0.0
electricity,ES,5,0.0
electricity,ES,6,0.0
electricity,ES,7,0.0
electricity,ES,8,0.0
electricity,ES,9,0.0
electricity,ES,10,0.0
electricity,ES,11,0.0
electricity,ES,12,0.0
electricity,ES,13,0.0
electricity,ES,14,0.0
electricity,FI,0,0.0
electricity,FI,1,0.0
electricity,FI,2,0.0
electricity,FI,3,0.0
electricity,FI,4,0.0
electricity,FI,5,0.0
electricity,FI,6,0.0
electricity,FI,7,0.0
electricity,FI,8,0.0
electricity,FI,9,0.0
electricity,FI,10,0.0
electricity,FI,11,0.0
electricity,FI,12,0.0
electricity,FI,13,0.0
electricity,FI,14,0.0
electricity,FR,0,0.0
electricity,FR,1,0.0
electricity,FR,2,0.0
electricity,FR,3,0.0
electricity,FR,4,0.0
electricity,FR,5,0.0
electricity,FR,6,0.0
electricity,FR,7,0.0
electricity,FR,8,0.0
electricity,FR,9,0.0
electricity,FR,10,0.0
electricity,FR,11,0.0
electricity,FR,12,0.0
electricity,FR,13,0.0
electricity,FR,14,0.0
electricity,HR,0,0.0
electricity,HR,1,0.0
electricity,HR,2,0.0
electricity,HR,3,0.0
electricity,HR,4,0.0
electricity,HR,5,0.0
electricity,HR,6,0.0
electricity,HR,7,0.0
electricity,HR,8,0.0
electricity,HR,9,0.0
electricity,HR,10,0.0
electricity,HR,11,0.0
electricity,HR,12,0.0
electricity,HR,13,0.0
electricity,HR,14,0.0
electricity,HU,0,0.0
electricity,HU,1,0.0
electricity,HU,2,0.0
electricity,HU,3,0.0
electricity,HU,4,0.0
electricity,HU,5,0.0
electricity,HU,6,0.0
electricity,HU,7,0.0
electricity,HU,8,0.0
electricity,HU,9,0.0
electricity,HU,10,0.0
electricity,HU,11,0.0
electricity,HU,12,0.0
electricity,HU,13,0.0
electricity,HU,14,0.0
electricity,IE,0,0.0
electricity,IE,1,0.0
electricity,IE,2,0.0
electricity,IE,3,0.0
electricity,IE,4,0.0
electricity,IE,5,0.0
electricity,IE,6,0.0
electricity,IE,7,0.0
electricity,IE,8,0.0
electricity,IE,9,0.0
electricity,IE,10,0.0
electricity,IE,11,0.0
electricity,IE,12,0.0
electricity,IE,13,0.0
electricity,IE,14,0.0
electricity,IT,0,0.0
electricity,IT,1,0.0
electricity,IT,2,0.0
electricity,IT,3,0.0
electricity,IT,4,0.0
electricity,IT,5,0.0
electricity,IT,6,0.0
electricity,IT,7,0.0
electricity,IT,8,0.0
electricity,IT,9,0.0
electricity,IT,10,0.0
electricity,IT,11,0.0
electricity,IT,12,0.0
electricity,IT,13,0.0
electricity,IT,14,0.0
electricity,LT,0,0.0
electricity,LT,1,0.0
electricity,LT,2,0.0
electricity,LT,3,0.0
electricity,LT,4,0.0
electricity,LT,5,0.0
electricity,LT,6,0.0
electricity,LT,7,0.0
electricity,LT,8,0.0
electricity,LT,9,0.0
electricity,LT,10,0.0
electricity,LT,11,0.0
electricity,LT,12,0.0
electricity,LT,13,0.0
electricity,LT,14,0.0
electricity,LU,0,0.0
electricity,LU,1,0.0
electricity,LU,2,0.0
electricity,LU,3,0.0
electricity,LU,4,0.0
electricity,LU,5,0.0
electricity,LU,6,0.0
electricity,LU,7,0.0
electricity,LU,8,0.0
electricity,LU,9,0.0
electricity,LU,10,0.0
electricity,LU,11,0.0
electricity,LU,12,0.0
