technology,capacity_type,location,year,none
DAC,power,HU,8,8.14003422722673e-09
DAC,power,HU,9,9.929094693682403e-09
DAC,power,HU,10,1.1215545766987386e-08
DAC,power,HU,11,1.3414975053904776e-08
DAC,power,HU,12,1.6875507226365644e-08
DAC,power,HU,13,2.34481912675351e-08
DAC,power,HU,14,4.7824485663991236e-08
DAC,power,IE,0,9.256865706851831e-10
DAC,power,IE,1,1.5430872525305695e-09
DAC,power,IE,2,2.144841956883214e-09
DAC,power,IE,3,2.8054736459863457e-09
DAC,power,IE,4,3.5729132960777718e-09
DAC,power,IE,5,4.401768511906665e-09
DAC,power,IE,6,5.361054113351937e-09
DAC,power,IE,7,6.5184836567007605e-09
DAC,power,IE,8,7.941116795186379e-09
DAC,power,IE,9,9.726604147426964e-09
DAC,power,IE,10,1.1055927838854857e-08
DAC,power,IE,11,1.3312265799378737e-08
DAC,power,IE,12,1.6918802524492906e-08
DAC,power,IE,13,2.4220807147778245e-08
DAC,power,IE,14,6.382149944117347e-08
DAC,power,IT,0,9.57462872309192e-10
DAC,power,IT,1,1.586436020295242e-09
DAC,power,IT,2,2.211671811623856e-09
DAC,power,IT,3,2.910382145647314e-09
DAC,power,IT,4,3.783002558868625e-09
DAC,power,IT,5,4.766625196904056e-09
DAC,power,IT,6,5.952200249585152e-09
DAC,power,IT,7,7.443197085030396e-09
DAC,power,IT,8,9.330145274323331e-09
DAC,power,IT,9,1.1723131582493269e-08
DAC,power,IT,10,1.3777329993341197e-08
DAC,power,IT,11,1.6734950524140402e-08
DAC,power,IT,12,2.1897577834421768e-08
DAC,power,IT,13,3.772279426533766e-08
DAC,power,IT,14,1.4649219052742186e-07
DAC,power,LT,0,9.882435525906924e-10
DAC,power,LT,1,1.6415253746138378e-09
DAC,power,LT,2,2.285935452329624e-09
DAC,power,LT,3,3.0078714806941835e-09
DAC,power,LT,4,3.930821291510088e-09
DAC,power,LT,5,4.98401507998872e-09
DAC,power,LT,6,6.275065565663189e-09
DAC,power,LT,7,7.93753026073468e-09
DAC,power,LT,8,1.0090656079947964e-08
DAC,power,LT,9,1.2856702793095383e-08
DAC,power,LT,10,1.5338144528783023e-08
DAC,power,LT,11,1.86956450611439e-08
