carrier,node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
biomass,IT,11.559899173287619,0.8685786340471348,9.499979898509924e-07,2.0883263750448963e-07,1.777561911823898e-07,1.493696239824573e-07,1.3348814429632212e-07,1.192952606626865e-07,1.1954081861695532e-07,7.910337894943579e-08,8.970976676105558e-08,7.686390447382539e-08,8.40184579519396e-08,1.2882288562042463e-07,2.9011335419964173e-07
biomass,LT,1.094548369149644,4.287129621986801e-08,5.301079601947425e-08,7.067274907483652e-08,6.876498539853176e-08,6.789591744995337e-08,7.092003923615003e-08,7.75229803446354e-08,8.123017950155592e-08,6.635160780357485e-08,7.597753611399089e-08,6.45086126533201e-08,6.852108005604284e-08,1.0466147649402067e-07,2.5386884060294485e-07
biomass,LU,0.1616808274166447,0.018167626673337735,1.265893004770523e-07,4.479420147523891e-08,6.920718170251972e-08,3.6388399343510625e-07,0.00661474263247398,0.003024453936620023,0.14351302619089631,0.14351301264433794,0.12112915467595059,2.2128342817076166e-07,2.563306716444442e-07,2.194839349660994e-06,0.22256475902527464
biomass,LV,0.38112827463247423,3.957902907170267e-08,4.561959962043015e-08,5.5453562993429246e-08,5.641679314780072e-08,5.773249010845855e-08,6.26928994913332e-08,6.702230228915487e-08,7.461329888216643e-08,5.6664142633169327e-08,6.710546277841e-08,5.748500341653181e-08,6.70037966682541e-08,1.0078216450405232e-07,2.4961558599144455e-07
biomass,NL,0.9835645677453252,0.5784492652787295,0.49924266361562175,0.47543097678245944,0.3798139424711343,0.3651653982580903,0.23140284450685486,0.13881725263199204,0.06356947688732588,0.008545193875557506,0.008545139821106334,0.008545078186106357,0.008545119432579065,5.989783483761417e-06,1.3550087291730395e-06
biomass,NO,1.090347028196034e-07,1.324572399864673e-07,1.1524512822029666e-07,1.0798860908206506e-07,9.75177168066566e-08,8.717359783055833e-08,8.23324603272495e-08,8.763160142386136e-08,8.966975482820723e-08,9.606614803605996e-08,1.0009563385564818e-07,9.277020647329311e-08,8.925951864375428e-08,1.285846663097283e-07,3.5359325684779473e-07
biomass,PL,7.655743467099198,6.3691966258295745,6.18538021116744,2.344381148390597,5.695749536234487,4.062091425283157,2.4924675418576896e-05,4.123339165200309e-07,2.5286852503174733e-07,1.0639644880236217e-07,1.506555690920632e-07,6.405816826618788e-08,7.676448096952256e-08,1.239654425054571e-07,2.866019222240203e-07
biomass,PT,0.3205987523193655,6.91676031907e-08,4.1606152403718797e-08,6.301854045101327e-08,0.07342175766235147,0.02899954128920453,0.028999684712101834,0.007949602990337413,0.004619315515930231,1.246269513661608e-07,1.4042683131699984e-07,1.3942011274114162e-07,1.156256517137877e-07,1.808299914147456e-07,3.6960009728097555e-07
biomass,RO,2.154901827681755,1.4180132618333393e-07,5.963104480431783e-08,4.096840038651088e-08,5.626828480700974e-08,8.146124827779317e-08,1.326007750167892e-07,0.2921079949454375,0.20240740005504185,0.1934416208074283,0.19344181802060142,0.15808285230949246,0.15808290960976915,0.15808357116428207,0.25551604910158726
biomass,SE,9.018364909814933e-08,8.830901932223194e-08,8.44354759350086e-08,9.344152641669386e-08,8.518447764080288e-08,7.810096162340872e-08,7.640537402646739e-08,8.725430926397548e-08,9.168687341001397e-08,7.06025092285874e-08,8.154930986223172e-08,6.850330414700396e-08,6.78445988101284e-08,1.152432363918721e-07,3.2702953003330123e-07
