technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DAC,power,HU,9.633213284426731e-10,1.5983367093445492e-09,2.2276552367402264e-09,2.9210489216032523e-09,3.7268291992112976e-09,4.57908917391196e-09,5.5531068034942585e-09,6.714831953253284e-09,8.14003422722673e-09,9.929094693682403e-09,1.1215545766987386e-08,1.3414975053904776e-08,1.6875507226365644e-08,2.34481912675351e-08,4.7824485663991236e-08
DAC,power,IE,9.256865706851831e-10,1.5430872525305695e-09,2.144841956883214e-09,2.8054736459863457e-09,3.5729132960777718e-09,4.401768511906665e-09,5.361054113351937e-09,6.5184836567007605e-09,7.941116795186379e-09,9.726604147426964e-09,1.1055927838854857e-08,1.3312265799378737e-08,1.6918802524492906e-08,2.4220807147778245e-08,6.382149944117347e-08
DAC,power,IT,9.57462872309192e-10,1.586436020295242e-09,2.211671811623856e-09,2.910382145647314e-09,3.783002558868625e-09,4.766625196904056e-09,5.952200249585152e-09,7.443197085030396e-09,9.330145274323331e-09,1.1723131582493269e-08,1.3777329993341197e-08,1.6734950524140402e-08,2.1897577834421768e-08,3.772279426533766e-08,1.4649219052742186e-07
DAC,power,LT,9.882435525906924e-10,1.6415253746138378e-09,2.285935452329624e-09,3.0078714806941835e-09,3.930821291510088e-09,4.98401507998872e-09,6.275065565663189e-09,7.93753026073468e-09,1.0090656079947964e-08,1.2856702793095383e-08,1.5338144528783023e-08,1.86956450611439e-08,2.4649418661104572e-08,4.4848873977636556e-08,1.9340859089849814e-07
DAC,power,LU,9.498700470299437e-10,1.5721788927803983e-09,2.1885156987057693e-09,2.8676198161645245e-09,3.648842902653089e-09,4.478898554033169e-09,5.433688475854649e-09,6.5667316271270365e-09,7.950811632573797e-09,9.696212602704395e-09,1.0952769115592942e-08,1.3142521841262228e-08,1.6569803448022737e-08,2.3067761486542834e-08,4.96457655125621e-08
DAC,power,LV,9.970874204545045e-10,1.652841156268381e-09,2.307250126083281e-09,3.0392368875939445e-09,3.982051423503797e-09,5.0640345155210145e-09,6.401458956665784e-09,8.145238272044349e-09,1.0453336766460275e-08,1.3544430423421821e-08,1.6582738524981597e-08,2.0501424082432474e-08,2.6815949113621903e-08,5.1754821666763215e-08,2.897752174363601e-07
DAC,power,NL,9.340113292510282e-10,1.5462198228001334e-09,2.1463446519003197e-09,2.808718286071618e-09,3.5941974348948853e-09,4.464373304665143e-09,5.492145489851611e-09,6.741493619718708e-09,8.279164433752649e-09,1.0201519243210403e-08,1.1689401994978007e-08,1.4097534498621861e-08,1.7982757097038134e-08,2.641700325968552e-08,6.80187294054509e-08
DAC,power,NO,9.912173019582938e-10,1.6304324973255449e-09,2.269713369585847e-09,2.989358536929139e-09,3.914708022016241e-09,4.976590209180315e-09,6.278608031448831e-09,7.963593662746077e-09,1.0150281961335488e-08,1.295322797401006e-08,1.548884539425854e-08,1.892175081323668e-08,2.522499086537239e-08,5.094454128896996e-08,7.636949045598522e-07
DAC,power,PL,9.497240505249918e-10,1.57179926942667e-09,2.187772049068294e-09,2.876909806600746e-09,3.720880129003976e-09,4.658108616263374e-09,5.776024477801185e-09,7.157361859029905e-09,8.879213450984182e-09,1.1045769645712394e-08,1.2801898319863922e-08,1.5588871922416865e-08,2.0112112991479293e-08,3.084215212777684e-08,7.854037440382557e-08
DAC,power,PT,9.178657272125573e-10,1.5296708091298943e-09,2.131357706735784e-09,2.7902158749540355e-09,3.5688988099420012e-09,4.418150463122717e-09,5.413119772283741e-09,6.618161556632585e-09,8.099919345623142e-09,9.96270581100825e-09,1.1397763187756646e-08,1.3761193888868065e-08,1.7517371792335725e-08,2.4896641271900702e-08,5.505901722417351e-08
