technology,capacity_type,location,year,none,
photovoltaics,power,FI,11,0.36435012,3.64E+05
photovoltaics,power,FI,12,0.305550164,3.06E+05
photovoltaics,power,FI,13,0.166150252,1.66E+05
photovoltaics,power,FI,14,6.60E-07,6.60E-01
photovoltaics,power,FR,0,13.73139837,1.37E+07
photovoltaics,power,FR,1,13.73139837,1.37E+07
photovoltaics,power,FR,2,13.73139838,1.37E+07
photovoltaics,power,FR,3,13.73139838,1.37E+07
photovoltaics,power,FR,4,13.72672696,1.37E+07
photovoltaics,power,FR,5,13.71582696,1.37E+07
photovoltaics,power,FR,6,13.6986984,1.37E+07
photovoltaics,power,FR,7,13.65649841,1.37E+07
photovoltaics,power,FR,8,13.35000004,1.34E+07
photovoltaics,power,FR,9,10.70299994,1.07E+07
photovoltaics,power,FR,10,8.914000087,8.91E+06
photovoltaics,power,FR,11,7.059000115,7.06E+06
photovoltaics,power,FR,12,5.592000159,5.59E+06
photovoltaics,power,FR,13,3.766000245,3.77E+06
photovoltaics,power,FR,14,6.60E-07,6.60E-01
photovoltaics,power,HR,0,0.119000002,1.19E+05
photovoltaics,power,HR,1,0.119000005,1.19E+05
photovoltaics,power,HR,2,0.119000009,1.19E+05
photovoltaics,power,HR,3,0.119000013,1.19E+05
photovoltaics,power,HR,4,0.119000018,1.19E+05
photovoltaics,power,HR,5,0.119000024,1.19E+05
photovoltaics,power,HR,6,0.119000032,1.19E+05
photovoltaics,power,HR,7,0.119000041,1.19E+05
photovoltaics,power,HR,8,0.119000054,1.19E+05
photovoltaics,power,HR,9,0.119000069,1.19E+05
photovoltaics,power,HR,10,0.10000009,1.00E+05
photovoltaics,power,HR,11,0.072000119,7.20E+04
photovoltaics,power,HR,12,0.059000163,5.90E+04
photovoltaics,power,HR,13,0.034200245,3.42E+04
photovoltaics,power,HR,14,6.58E-07,6.58E-01
photovoltaics,power,HU,0,2.957356997,2.96E+06
photovoltaics,power,HU,1,2.957357,2.96E+06
photovoltaics,power,HU,2,2.957357003,2.96E+06
photovoltaics,power,HU,3,2.957357007,2.96E+06
photovoltaics,power,HU,4,2.957357012,2.96E+06
photovoltaics,power,HU,5,2.957357018,2.96E+06
photovoltaics,power,HU,6,2.957357025,2.96E+06
photovoltaics,power,HU,7,2.957357035,2.96E+06
photovoltaics,power,HU,8,2.957357047,2.96E+06
photovoltaics,power,HU,9,2.954057062,2.95E+06
photovoltaics,power,HU,10,2.918516082,2.92E+06
photovoltaics,power,HU,11,2.79552811,2.80E+06
photovoltaics,power,HU,12,2.623881154,2.62E+06
photovoltaics,power,HU,13,1.556991213,1.56E+06
photovoltaics,power,HU,14,6.51E-07,6.51E-01
photovoltaics,power,IE,0,0.144000002,1.44E+05
photovoltaics,power,IE,1,0.144000005,1.44E+05
photovoltaics,power,IE,2,0.144000008,1.44E+05
photovoltaics,power,IE,3,0.144000013,1.44E+05
photovoltaics,power,IE,4,0.144000018,1.44E+05
photovoltaics,power,IE,5,0.144000024,1.44E+05
photovoltaics,power,IE,6,0.144000032,1.44E+05
photovoltaics,power,IE,7,0.144000041,1.44E+05
photovoltaics,power,IE,8,0.144000053,1.44E+05
photovoltaics,power,IE,9,0.144000068,1.44E+05
photovoltaics,power,IE,10,0.144000089,1.44E+05
photovoltaics,power,IE,11,0.144000118,1.44E+05
photovoltaics,power,IE,12,0.144000162,1.44E+05
photovoltaics,power,IE,13,0.116000247,1.16E+05
photovoltaics,power,IE,14,6.51E-07,6.51E-01
photovoltaics,power,IT,0,22.55036377,2.26E+07
photovoltaics,power,IT,1,22.55036378,2.26E+07
photovoltaics,power,IT,2,22.55036378,2.26E+07
photovoltaics,power,IT,3,22.55036378,2.26E+07
photovoltaics,power,IT,4,22.54372093,2.25E+07
photovoltaics,power,IT,5,22.52822094,2.25E+07
photovoltaics,power,IT,6,22.5038638,2.25E+07
photovoltaics,power,IT,7,22.41829581,2.24E+07
photovoltaics,power,IT,8,21.36143983,2.14E+07
photovoltaics,power,IT,9,9.749450873,9.75E+06
photovoltaics,power,IT,10,4.337451259,4.34E+06
photovoltaics,power,IT,11,3.63066369,3.63E+06
photovoltaics,power,IT,12,2.852600258,2.85E+06
photovoltaics,power,IT,13,1.664500247,1.66E+06
photovoltaics,power,IT,14,6.57E-07,6.57E-01
photovoltaics,power,LT,0,0.169000002,1.69E+05
photovoltaics,power,LT,1,0.169000005,1.69E+05
photovoltaics,power,LT,2,0.169000008,1.69E+05
photovoltaics,power,LT,3,0.169000013,1.69E+05
photovoltaics,power,LT,4,0.169000018,1.69E+05
photovoltaics,power,LT,5,0.169000024,1.69E+05
photovoltaics,power,LT,6,0.169000032,1.69E+05
photovoltaics,power,LT,7,0.169000041,1.69E+05
photovoltaics,power,LT,8,0.169000053,1.69E+05
photovoltaics,power,LT,9,0.169000069,1.69E+05
photovoltaics,power,LT,10,0.169000089,1.69E+05
photovoltaics,power,LT,11,0.101000118,1.01E+05
photovoltaics,power,LT,12,0.089000162,8.90E+04
photovoltaics,power,LT,13,0.087000247,8.70E+04
photovoltaics,power,LT,14,6.52E-07,6.52E-01
photovoltaics,power,LU,0,5.45E-09,5.45E-03
photovoltaics,power,LU,1,1.47E-08,1.47E-02
photovoltaics,power,LU,2,2.35E-08,2.35E-02
photovoltaics,power,LU,3,3.30E-08,3.30E-02
photovoltaics,power,LU,4,4.39E-08,4.39E-02
photovoltaics,power,LU,5,5.64E-08,5.64E-02
photovoltaics,power,LU,6,7.10E-08,7.10E-02
photovoltaics,power,LU,7,8.83E-08,8.83E-02
photovoltaics,power,LU,8,1.09E-07,1.09E-01
photovoltaics,power,LU,9,1.35E-07,1.35E-01
photovoltaics,power,LU,10,1.67E-07,1.67E-01
photovoltaics,power,LU,11,2.11E-07,2.11E-01
photovoltaics,power,LU,12,2.74E-07,2.74E-01
photovoltaics,power,LU,13,3.84E-07,3.84E-01
photovoltaics,power,LU,14,7.67E-07,7.67E-01
photovoltaics,power,LV,0,5.33E-09,5.33E-03
photovoltaics,power,LV,1,1.44E-08,1.44E-02
photovoltaics,power,LV,2,2.31E-08,2.31E-02
photovoltaics,power,LV,3,3.24E-08,3.24E-02
photovoltaics,power,LV,4,4.32E-08,4.32E-02
photovoltaics,power,LV,5,5.54E-08,5.54E-02
photovoltaics,power,LV,6,6.99E-08,6.99E-02
photovoltaics,power,LV,7,8.70E-08,8.70E-02
photovoltaics,power,LV,8,1.08E-07,1.08E-01
photovoltaics,power,LV,9,1.33E-07,1.33E-01
photovoltaics,power,LV,10,1.65E-07,1.65E-01
photovoltaics,power,LV,11,2.08E-07,2.08E-01
photovoltaics,power,LV,12,2.71E-07,2.71E-01
photovoltaics,power,LV,13,3.79E-07,3.79E-01
photovoltaics,power,LV,14,7.58E-07,7.58E-01
photovoltaics,power,NL,0,14.20580015,1.42E+07
photovoltaics,power,NL,1,14.20580015,1.42E+07
photovoltaics,power,NL,2,14.20580016,1.42E+07
photovoltaics,power,NL,3,14.20580016,1.42E+07
photovoltaics,power,NL,4,14.20515731,1.42E+07
photovoltaics,power,NL,5,14.20365731,1.42E+07
photovoltaics,power,NL,6,14.20130018,1.42E+07
photovoltaics,power,NL,7,14.19840019,1.42E+07
photovoltaics,power,NL,8,14.1833002,1.42E+07
photovoltaics,power,NL,9,14.10260021,1.41E+07
photovoltaics,power,NL,10,13.51100022,1.35E+07
photovoltaics,power,NL,11,12.76900029,1.28E+07
photovoltaics,power,NL,12,11.46000034,1.15E+07
photovoltaics,power,NL,13,7.281000369,7.28E+06
photovoltaics,power,NL,14,6.50E-07,6.50E-01
photovoltaics,power,NO,0,0.222499999,2.22E+05
photovoltaics,power,NO,1,0.222500002,2.23E+05
photovoltaics,power,NO,2,0.222500006,2.23E+05
photovoltaics,power,NO,3,0.22250001,2.23E+05
photovoltaics,power,NO,4,0.222500015,2.23E+05
photovoltaics,power,NO,5,0.222500021,2.23E+05
photovoltaics,power,NO,6,0.222500029,2.23E+05
photovoltaics,power,NO,7,0.222500039,2.23E+05
photovoltaics,power,NO,8,0.222500051,2.23E+05
photovoltaics,power,NO,9,0.222500066,2.23E+05
photovoltaics,power,NO,10,0.222500087,2.23E+05
photovoltaics,power,NO,11,0.222500116,2.23E+05
photovoltaics,power,NO,12,0.19350016,1.94E+05
photovoltaics,power,NO,13,0.119000246,1.19E+05
photovoltaics,power,NO,14,6.57E-07,6.57E-01
photovoltaics,power,PL,0,7.7801001,7.78E+06
photovoltaics,power,PL,1,7.780100103,7.78E+06
photovoltaics,power,PL,2,7.780100106,7.78E+06
photovoltaics,power,PL,3,7.78010011,7.78E+06
photovoltaics,power,PL,4,7.780100115,7.78E+06
photovoltaics,power,PL,5,7.780100121,7.78E+06
photovoltaics,power,PL,6,7.780100129,7.78E+06
photovoltaics,power,PL,7,7.780100138,7.78E+06
photovoltaics,power,PL,8,7.78010015,7.78E+06
photovoltaics,power,PL,9,7.780100165,7.78E+06
photovoltaics,power,PL,10,7.780100185,7.78E+06
photovoltaics,power,PL,11,7.680100213,7.68E+06
photovoltaics,power,PL,12,7.500000251,7.50E+06
photovoltaics,power,PL,13,6.480000367,6.48E+06
photovoltaics,power,PL,14,6.55E-07,6.55E-01
photovoltaics,power,PT,0,1.775098065,1.78E+06
photovoltaics,power,PT,1,1.775098067,1.78E+06
photovoltaics,power,PT,2,1.775098071,1.78E+06
photovoltaics,power,PT,3,1.775098075,1.78E+06
photovoltaics,power,PT,4,1.774926651,1.77E+06
photovoltaics,power,PT,5,1.774526657,1.77E+06
photovoltaics,power,PT,6,1.773898093,1.77E+06
photovoltaics,power,PT,7,1.761498103,1.76E+06
photovoltaics,power,PT,8,1.666498118,1.67E+06
photovoltaics,power,PT,9,1.60149813,1.60E+06
photovoltaics,power,PT,10,1.47749815,1.48E+06
photovoltaics,power,PT,11,1.323000178,1.32E+06
photovoltaics,power,PT,12,1.192000223,1.19E+06
photovoltaics,power,PT,13,0.852000278,8.52E+05
photovoltaics,power,PT,14,6.53E-07,6.53E-01
photovoltaics,power,RO,0,1.426181033,1.43E+06
photovoltaics,power,RO,1,1.426181035,1.43E+06
photovoltaics,power,RO,2,1.426181039,1.43E+06
photovoltaics,power,RO,3,1.426181043,1.43E+06
photovoltaics,power,RO,4,1.426181048,1.43E+06
photovoltaics,power,RO,5,1.426181054,1.43E+06
photovoltaics,power,RO,6,1.426181061,1.43E+06
photovoltaics,power,RO,7,1.426181071,1.43E+06
photovoltaics,power,RO,8,1.426181082,1.43E+06
photovoltaics,power,RO,9,1.424181098,1.42E+06
photovoltaics,power,RO,10,0.564281094,5.64E+05
photovoltaics,power,RO,11,0.122900141,1.23E+05
photovoltaics,power,RO,12,0.049500161,4.95E+04
photovoltaics,power,RO,13,0.040000246,4.00E+04
photovoltaics,power,RO,14,6.55E-07,6.55E-01
photovoltaics,power,SE,0,1.681232945,1.68E+06
photovoltaics,power,SE,1,1.681232948,1.68E+06
photovoltaics,power,SE,2,1.681232951,1.68E+06
photovoltaics,power,SE,3,1.681232955,1.68E+06
photovoltaics,power,SE,4,1.680970246,1.68E+06
photovoltaics,power,SE,5,1.680357252,1.68E+06
photovoltaics,power,SE,6,1.679393974,1.68E+06
photovoltaics,power,SE,7,1.677388984,1.68E+06
photovoltaics,power,SE,8,1.674856996,1.67E+06
photovoltaics,power,SE,9,1.667860012,1.67E+06
photovoltaics,power,SE,10,1.640340032,1.64E+06
photovoltaics,power,SE,11,1.558260063,1.56E+06
photovoltaics,power,SE,12,1.36598011,1.37E+06
photovoltaics,power,SE,13,0.899000186,8.99E+05
photovoltaics,power,SE,14,6.54E-07,6.54E-01
photovoltaics,power,SI,0,0.396712,3.97E+05
photovoltaics,power,SI,1,0.396712003,3.97E+05
photovoltaics,power,SI,2,0.396712006,3.97E+05
photovoltaics,power,SI,3,0.39671201,3.97E+05
photovoltaics,power,SI,4,0.396622015,3.97E+05
photovoltaics,power,SI,5,0.396412022,3.96E+05
photovoltaics,power,SI,6,0.39608203,3.96E+05
photovoltaics,power,SI,7,0.395272039,3.95E+05
photovoltaics,power,SI,8,0.385855051,3.86E+05
photovoltaics,power,SI,9,0.320420069,3.20E+05
photovoltaics,power,SI,10,0.15700009,1.57E+05
photovoltaics,power,SI,11,0.144000119,1.44E+05
photovoltaics,power,SI,12,0.122000164,1.22E+05
photovoltaics,power,SI,13,0.092000249,9.20E+04
photovoltaics,power,SI,14,6.57E-07,6.57E-01
photovoltaics,power,SK,0,0.574488118,5.74E+05
photovoltaics,power,SK,1,0.574488121,5.74E+05
photovoltaics,power,SK,2,0.574488124,5.74E+05
photovoltaics,power,SK,3,0.574488128,5.74E+05
photovoltaics,power,SK,4,0.574479562,5.74E+05
photovoltaics,power,SK,5,0.574459568,5.74E+05
photovoltaics,power,SK,6,0.574428147,5.74E+05
photovoltaics,power,SK,7,0.574382157,5.74E+05
photovoltaics,power,SK,8,0.574140229,5.74E+05
photovoltaics,power,SK,9,0.076000066,7.60E+04
photovoltaics,power,SK,10,0.036000087,3.60E+04
photovoltaics,power,SK,11,0.030000114,3.00E+04
photovoltaics,power,SK,12,0.020000159,2.00E+04
photovoltaics,power,SK,13,0.010000244,1.00E+04
photovoltaics,power,SK,14,6.55E-07,6.55E-01
photovoltaics,power,UK,0,14.24309314,1.42E+07
photovoltaics,power,UK,1,14.24309315,1.42E+07
photovoltaics,power,UK,2,14.24309315,1.42E+07
photovoltaics,power,UK,3,14.24309315,1.42E+07
photovoltaics,power,UK,4,14.2416433,1.42E+07
photovoltaics,power,UK,5,14.23826031,1.42E+07
photovoltaics,power,UK,6,14.23294418,1.42E+07
photovoltaics,power,UK,7,14.22572118,1.42E+07
photovoltaics,power,UK,8,14.2173212,1.42E+07
photovoltaics,power,UK,9,13.22602727,1.32E+07
photovoltaics,power,UK,10,11.34999795,1.13E+07
photovoltaics,power,UK,11,4.496690241,4.50E+06
photovoltaics,power,UK,12,1.398548989,1.40E+06
photovoltaics,power,UK,13,0.829318363,8.29E+05
photovoltaics,power,UK,14,6.56E-07,6.56E-01
reservoir_hydro,power,AT,0,1.858942186,1.86E+06
reservoir_hydro,power,AT,1,1.835935477,1.84E+06
reservoir_hydro,power,AT,2,1.835935478,1.84E+06
reservoir_hydro,power,AT,3,1.83593548,1.84E+06
reservoir_hydro,power,AT,4,0.202459058,2.02E+05
reservoir_hydro,power,AT,5,0.202459061,2.02E+05
reservoir_hydro,power,AT,6,0.202459065,2.02E+05
reservoir_hydro,power,AT,7,0.202459071,2.02E+05
reservoir_hydro,power,AT,8,0.062118146,6.21E+04
reservoir_hydro,power,AT,9,0.062118159,6.21E+04
reservoir_hydro,power,AT,10,6.80E-08,6.80E-02
reservoir_hydro,power,AT,11,9.50E-08,9.50E-02
reservoir_hydro,power,AT,12,1.30E-07,1.30E-01
reservoir_hydro,power,AT,13,1.87E-07,1.87E-01
reservoir_hydro,power,AT,14,3.58E-07,3.58E-01
reservoir_hydro,power,BE,0,0.012735669,1.27E+04
reservoir_hydro,power,BE,1,6.83E-09,6.83E-03
reservoir_hydro,power,BE,2,1.42E-08,1.42E-02
reservoir_hydro,power,BE,3,2.19E-08,2.19E-02
reservoir_hydro,power,BE,4,3.37E-08,3.37E-02
reservoir_hydro,power,BE,5,4.28E-08,4.28E-02
reservoir_hydro,power,BE,6,5.37E-08,5.37E-02
reservoir_hydro,power,BE,7,6.62E-08,6.62E-02
reservoir_hydro,power,BE,8,8.02E-08,8.02E-02
reservoir_hydro,power,BE,9,9.59E-08,9.59E-02
reservoir_hydro,power,BE,10,1.15E-07,1.15E-01
reservoir_hydro,power,BE,11,1.39E-07,1.39E-01
reservoir_hydro,power,BE,12,1.74E-07,1.74E-01
reservoir_hydro,power,BE,13,2.37E-07,2.37E-01
reservoir_hydro,power,BE,14,4.21E-07,4.21E-01
reservoir_hydro,power,BG,0,1.17556531,1.18E+06
reservoir_hydro,power,BG,1,1.024817904,1.02E+06
reservoir_hydro,power,BG,2,1.024817906,1.02E+06
reservoir_hydro,power,BG,3,1.024817908,1.02E+06
reservoir_hydro,power,BG,4,1.024817912,1.02E+06
reservoir_hydro,power,BG,5,1.024817918,1.02E+06
reservoir_hydro,power,BG,6,2.87E-08,2.87E-02
reservoir_hydro,power,BG,7,3.87E-08,3.87E-02
reservoir_hydro,power,BG,8,4.86E-08,4.86E-02
reservoir_hydro,power,BG,9,5.94E-08,5.94E-02
reservoir_hydro,power,BG,10,7.19E-08,7.19E-02
reservoir_hydro,power,BG,11,8.73E-08,8.73E-02
reservoir_hydro,power,BG,12,1.09E-07,1.09E-01
reservoir_hydro,power,BG,13,1.46E-07,1.46E-01
reservoir_hydro,power,BG,14,2.87E-07,2.87E-01
reservoir_hydro,power,CH,0,7.111952167,7.11E+06
reservoir_hydro,power,CH,1,6.354912736,6.35E+06
reservoir_hydro,power,CH,2,6.162878703,6.16E+06
reservoir_hydro,power,CH,3,6.162878704,6.16E+06
reservoir_hydro,power,CH,4,5.703422809,5.70E+06
reservoir_hydro,power,CH,5,5.635839737,5.64E+06
reservoir_hydro,power,CH,6,5.390033559,5.39E+06
reservoir_hydro,power,CH,7,5.34207138,5.34E+06
reservoir_hydro,power,CH,8,4.774700578,4.77E+06
reservoir_hydro,power,CH,9,4.275130861,4.28E+06
reservoir_hydro,power,CH,10,4.257145048,4.26E+06
reservoir_hydro,power,CH,11,4.200985701,4.20E+06
reservoir_hydro,power,CH,12,4.200985711,4.20E+06
reservoir_hydro,power,CH,13,4.170464342,4.17E+06
reservoir_hydro,power,CH,14,4.053131466,4.05E+06
reservoir_hydro,power,CZ,0,0.711483902,7.11E+05
reservoir_hydro,power,CZ,1,5.66E-09,5.66E-03
reservoir_hydro,power,CZ,2,1.13E-08,1.13E-02
reservoir_hydro,power,CZ,3,1.66E-08,1.66E-02
reservoir_hydro,power,CZ,4,2.26E-08,2.26E-02
reservoir_hydro,power,CZ,5,2.84E-08,2.84E-02
reservoir_hydro,power,CZ,6,3.46E-08,3.46E-02
reservoir_hydro,power,CZ,7,4.13E-08,4.13E-02
reservoir_hydro,power,CZ,8,4.87E-08,4.87E-02
reservoir_hydro,power,CZ,9,5.72E-08,5.72E-02
reservoir_hydro,power,CZ,10,6.74E-08,6.74E-02
reservoir_hydro,power,CZ,11,8.03E-08,8.03E-02
reservoir_hydro,power,CZ,12,9.81E-08,9.81E-02
reservoir_hydro,power,CZ,13,1.28E-07,1.28E-01
reservoir_hydro,power,CZ,14,2.39E-07,2.39E-01
reservoir_hydro,power,DE,0,1.02E-08,1.02E-02
reservoir_hydro,power,DE,1,1.68E-08,1.68E-02
reservoir_hydro,power,DE,2,2.21E-08,2.21E-02
reservoir_hydro,power,DE,3,2.74E-08,2.74E-02
reservoir_hydro,power,DE,4,3.31E-08,3.31E-02
reservoir_hydro,power,DE,5,3.95E-08,3.95E-02
reservoir_hydro,power,DE,6,4.65E-08,4.65E-02
reservoir_hydro,power,DE,7,5.47E-08,5.47E-02
reservoir_hydro,power,DE,8,6.48E-08,6.48E-02
reservoir_hydro,power,DE,9,7.81E-08,7.81E-02
reservoir_hydro,power,DE,10,9.86E-08,9.86E-02
reservoir_hydro,power,DE,11,1.36E-07,1.36E-01
reservoir_hydro,power,DE,12,1.89E-07,1.89E-01
reservoir_hydro,power,DE,13,2.87E-07,2.87E-01
reservoir_hydro,power,DE,14,4.97E-07,4.97E-01
reservoir_hydro,power,DK,0,0,0.00E+00
reservoir_hydro,power,DK,1,0,0.00E+00
reservoir_hydro,power,DK,2,0,0.00E+00
reservoir_hydro,power,DK,3,0,0.00E+00
reservoir_hydro,power,DK,4,0,0.00E+00
reservoir_hydro,power,DK,5,0,0.00E+00
reservoir_hydro,power,DK,6,0,0.00E+00
reservoir_hydro,power,DK,7,0,0.00E+00
reservoir_hydro,power,DK,8,0,0.00E+00
reservoir_hydro,power,DK,9,0,0.00E+00
reservoir_hydro,power,DK,10,0,0.00E+00
reservoir_hydro,power,DK,11,0,0.00E+00
reservoir_hydro,power,DK,12,0,0.00E+00
reservoir_hydro,power,DK,13,0,0.00E+00
reservoir_hydro,power,DK,14,0,0.00E+00
reservoir_hydro,power,EE,0,0,0.00E+00
reservoir_hydro,power,EE,1,0,0.00E+00
reservoir_hydro,power,EE,2,0,0.00E+00
reservoir_hydro,power,EE,3,0,0.00E+00
reservoir_hydro,power,EE,4,0,0.00E+00
reservoir_hydro,power,EE,5,0,0.00E+00
reservoir_hydro,power,EE,6,0,0.00E+00
reservoir_hydro,power,EE,7,0,0.00E+00
reservoir_hydro,power,EE,8,0,0.00E+00
reservoir_hydro,power,EE,9,0,0.00E+00
reservoir_hydro,power,EE,10,0,0.00E+00
reservoir_hydro,power,EE,11,0,0.00E+00
reservoir_hydro,power,EE,12,0,0.00E+00
reservoir_hydro,power,EE,13,0,0.00E+00
reservoir_hydro,power,EE,14,0,0.00E+00
reservoir_hydro,power,EL,0,2.442152871,2.44E+06
reservoir_hydro,power,EL,1,2.442152872,2.44E+06
reservoir_hydro,power,EL,2,1.957932907,1.96E+06
reservoir_hydro,power,EL,3,1.603355359,1.60E+06
reservoir_hydro,power,EL,4,1.60335536,1.60E+06
reservoir_hydro,power,EL,5,1.603355361,1.60E+06
reservoir_hydro,power,EL,6,1.187834797,1.19E+06
reservoir_hydro,power,EL,7,1.187834798,1.19E+06
reservoir_hydro,power,EL,8,1.187834801,1.19E+06
reservoir_hydro,power,EL,9,0.817744486,8.18E+05
reservoir_hydro,power,EL,10,0.81774449,8.18E+05
reservoir_hydro,power,EL,11,0.698074572,6.98E+05
reservoir_hydro,power,EL,12,0.698074579,6.98E+05
reservoir_hydro,power,EL,13,0.531866365,5.32E+05
reservoir_hydro,power,EL,14,0.299174888,2.99E+05
reservoir_hydro,power,ES,0,10.996152,1.10E+07
reservoir_hydro,power,ES,1,10.020462,1.00E+07
reservoir_hydro,power,ES,2,9.340452002,9.34E+06
reservoir_hydro,power,ES,3,8.229712003,8.23E+06
reservoir_hydro,power,ES,4,6.143142005,6.14E+06
reservoir_hydro,power,ES,5,5.770262006,5.77E+06
reservoir_hydro,power,ES,6,5.667082008,5.67E+06
reservoir_hydro,power,ES,7,2.97748201,2.98E+06
reservoir_hydro,power,ES,8,2.977482012,2.98E+06
reservoir_hydro,power,ES,9,2.913642015,2.91E+06
reservoir_hydro,power,ES,10,2.907642019,2.91E+06
reservoir_hydro,power,ES,11,2.889195025,2.89E+06
reservoir_hydro,power,ES,12,2.433320033,2.43E+06
reservoir_hydro,power,ES,13,0.752320047,7.52E+05
reservoir_hydro,power,ES,14,0.662100096,6.62E+05
reservoir_hydro,power,FI,0,1.345,1.35E+06
reservoir_hydro,power,FI,1,8.43E-09,8.43E-03
reservoir_hydro,power,FI,2,1.72E-08,1.72E-02
reservoir_hydro,power,FI,3,2.53E-08,2.53E-02
reservoir_hydro,power,FI,4,3.41E-08,3.41E-02
reservoir_hydro,power,FI,5,4.24E-08,4.24E-02
reservoir_hydro,power,FI,6,5.07E-08,5.07E-02
reservoir_hydro,power,FI,7,5.97E-08,5.97E-02
reservoir_hydro,power,FI,8,6.96E-08,6.96E-02
reservoir_hydro,power,FI,9,8.09E-08,8.09E-02
reservoir_hydro,power,FI,10,9.46E-08,9.46E-02
reservoir_hydro,power,FI,11,1.12E-07,1.12E-01
reservoir_hydro,power,FI,12,1.36E-07,1.36E-01
reservoir_hydro,power,FI,13,1.77E-07,1.77E-01
reservoir_hydro,power,FI,14,3.28E-07,3.28E-01
reservoir_hydro,power,FR,0,4.126736543,4.13E+06
reservoir_hydro,power,FR,1,3.687728978,3.69E+06
reservoir_hydro,power,FR,2,3.460374093,3.46E+06
reservoir_hydro,power,FR,3,2.410288933,2.41E+06
reservoir_hydro,power,FR,4,2.410288935,2.41E+06
reservoir_hydro,power,FR,5,2.410288936,2.41E+06
reservoir_hydro,power,FR,6,1.529820337,1.53E+06
reservoir_hydro,power,FR,7,1.52982034,1.53E+06
reservoir_hydro,power,FR,8,1.529820343,1.53E+06
reservoir_hydro,power,FR,9,1.529820347,1.53E+06
reservoir_hydro,power,FR,10,1.529820352,1.53E+06
reservoir_hydro,power,FR,11,1.52982036,1.53E+06
reservoir_hydro,power,FR,12,1.52982037,1.53E+06
reservoir_hydro,power,FR,13,1.529820389,1.53E+06
reservoir_hydro,power,FR,14,1.52982045,1.53E+06
reservoir_hydro,power,HR,0,1.327624459,1.33E+06
reservoir_hydro,power,HR,1,5.78E-09,5.78E-03
reservoir_hydro,power,HR,2,1.15E-08,1.15E-02
reservoir_hydro,power,HR,3,1.68E-08,1.68E-02
reservoir_hydro,power,HR,4,2.26E-08,2.26E-02
reservoir_hydro,power,HR,5,2.82E-08,2.82E-02
reservoir_hydro,power,HR,6,3.39E-08,3.39E-02
reservoir_hydro,power,HR,7,4.00E-08,4.00E-02
reservoir_hydro,power,HR,8,4.69E-08,4.69E-02
reservoir_hydro,power,HR,9,5.48E-08,5.48E-02
reservoir_hydro,power,HR,10,6.43E-08,6.43E-02
reservoir_hydro,power,HR,11,7.61E-08,7.61E-02
reservoir_hydro,power,HR,12,9.28E-08,9.28E-02
reservoir_hydro,power,HR,13,1.21E-07,1.21E-01
reservoir_hydro,power,HR,14,2.27E-07,2.27E-01
reservoir_hydro,power,HU,0,0.028,2.80E+04
reservoir_hydro,power,HU,1,8.60E-09,8.60E-03
reservoir_hydro,power,HU,2,1.83E-08,1.83E-02
reservoir_hydro,power,HU,3,2.92E-08,2.92E-02
reservoir_hydro,power,HU,4,4.78E-08,4.78E-02
reservoir_hydro,power,HU,5,7.51E-08,7.51E-02
reservoir_hydro,power,HU,6,1.22E-07,1.22E-01
reservoir_hydro,power,HU,7,1.92E-07,1.92E-01
reservoir_hydro,power,HU,8,2.62E-07,2.62E-01
reservoir_hydro,power,HU,9,3.25E-07,3.25E-01
reservoir_hydro,power,HU,10,3.99E-07,3.99E-01
reservoir_hydro,power,HU,11,5.02E-07,5.02E-01
reservoir_hydro,power,HU,12,6.53E-07,6.53E-01
reservoir_hydro,power,HU,13,9.54E-07,9.54E-01
reservoir_hydro,power,HU,14,3.71E-06,3.71E+00
reservoir_hydro,power,IE,0,0,0.00E+00
reservoir_hydro,power,IE,1,0,0.00E+00
reservoir_hydro,power,IE,2,0,0.00E+00
reservoir_hydro,power,IE,3,0,0.00E+00
reservoir_hydro,power,IE,4,0,0.00E+00
reservoir_hydro,power,IE,5,0,0.00E+00
reservoir_hydro,power,IE,6,0,0.00E+00
reservoir_hydro,power,IE,7,0,0.00E+00
reservoir_hydro,power,IE,8,0,0.00E+00
reservoir_hydro,power,IE,9,0,0.00E+00
reservoir_hydro,power,IE,10,0,0.00E+00
reservoir_hydro,power,IE,11,0,0.00E+00
reservoir_hydro,power,IE,12,0,0.00E+00
reservoir_hydro,power,IE,13,0,0.00E+00
reservoir_hydro,power,IE,14,0,0.00E+00
reservoir_hydro,power,IT,0,5.48524,5.49E+06
reservoir_hydro,power,IT,1,5.81E-09,5.81E-03
reservoir_hydro,power,IT,2,1.15E-08,1.15E-02
reservoir_hydro,power,IT,3,1.67E-08,1.67E-02
reservoir_hydro,power,IT,4,2.25E-08,2.25E-02
reservoir_hydro,power,IT,5,2.79E-08,2.79E-02
reservoir_hydro,power,IT,6,3.36E-08,3.36E-02
reservoir_hydro,power,IT,7,3.97E-08,3.97E-02
reservoir_hydro,power,IT,8,4.65E-08,4.65E-02
reservoir_hydro,power,IT,9,5.43E-08,5.43E-02
reservoir_hydro,power,IT,10,6.38E-08,6.38E-02
reservoir_hydro,power,IT,11,7.57E-08,7.57E-02
reservoir_hydro,power,IT,12,9.24E-08,9.24E-02
reservoir_hydro,power,IT,13,1.20E-07,1.20E-01
reservoir_hydro,power,IT,14,2.21E-07,2.21E-01
reservoir_hydro,power,LT,0,0.101,1.01E+05
