technology,capacity_type,location,year,none,
DAC,power,RO,4,3.69E-09,3.69E-03
DAC,power,RO,5,4.53E-09,4.53E-03
DAC,power,RO,6,5.49E-09,5.49E-03
DAC,power,RO,7,6.63E-09,6.63E-03
DAC,power,RO,8,8.00E-09,8.00E-03
DAC,power,RO,9,9.71E-09,9.71E-03
DAC,power,RO,10,1.09E-08,1.09E-02
DAC,power,RO,11,1.30E-08,1.30E-02
DAC,power,RO,12,1.63E-08,1.63E-02
DAC,power,RO,13,2.24E-08,2.24E-02
DAC,power,RO,14,4.47E-08,4.47E-02
DAC,power,SE,0,9.95E-10,9.95E-04
DAC,power,SE,1,1.63E-09,1.63E-03
DAC,power,SE,2,2.27E-09,2.27E-03
DAC,power,SE,3,2.99E-09,2.99E-03
DAC,power,SE,4,3.91E-09,3.91E-03
DAC,power,SE,5,4.97E-09,4.97E-03
DAC,power,SE,6,6.27E-09,6.27E-03
DAC,power,SE,7,7.94E-09,7.94E-03
DAC,power,SE,8,1.01E-08,1.01E-02
DAC,power,SE,9,1.29E-08,1.29E-02
DAC,power,SE,10,1.54E-08,1.54E-02
DAC,power,SE,11,1.87E-08,1.87E-02
DAC,power,SE,12,2.49E-08,2.49E-02
DAC,power,SE,13,5.06E-08,5.06E-02
DAC,power,SE,14,8.37E-07,8.37E-01
DAC,power,SI,0,9.62E-10,9.62E-04
DAC,power,SI,1,1.59E-09,1.59E-03
DAC,power,SI,2,2.21E-09,2.21E-03
DAC,power,SI,3,2.91E-09,2.91E-03
DAC,power,SI,4,3.76E-09,3.76E-03
DAC,power,SI,5,4.71E-09,4.71E-03
DAC,power,SI,6,5.84E-09,5.84E-03
DAC,power,SI,7,7.24E-09,7.24E-03
DAC,power,SI,8,8.98E-09,8.98E-03
DAC,power,SI,9,1.12E-08,1.12E-02
DAC,power,SI,10,1.29E-08,1.29E-02
DAC,power,SI,11,1.57E-08,1.57E-02
DAC,power,SI,12,2.02E-08,2.02E-02
DAC,power,SI,13,3.09E-08,3.09E-02
DAC,power,SI,14,7.82E-08,7.82E-02
DAC,power,SK,0,9.58E-10,9.58E-04
DAC,power,SK,1,1.59E-09,1.59E-03
DAC,power,SK,2,2.21E-09,2.21E-03
DAC,power,SK,3,2.90E-09,2.90E-03
DAC,power,SK,4,3.70E-09,3.70E-03
DAC,power,SK,5,4.54E-09,4.54E-03
DAC,power,SK,6,5.52E-09,5.52E-03
DAC,power,SK,7,6.69E-09,6.69E-03
DAC,power,SK,8,8.08E-09,8.08E-03
DAC,power,SK,9,9.84E-09,9.84E-03
DAC,power,SK,10,1.11E-08,1.11E-02
DAC,power,SK,11,1.33E-08,1.33E-02
DAC,power,SK,12,1.67E-08,1.67E-02
DAC,power,SK,13,2.32E-08,2.32E-02
DAC,power,SK,14,4.83E-08,4.83E-02
DAC,power,UK,0,9.76E-10,9.76E-04
DAC,power,UK,1,1.61E-09,1.61E-03
DAC,power,UK,2,2.23E-09,2.23E-03
