technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
biomass_boiler,power,LT,1.687230691,1.680990884,1.680990885,1.571724723,1.513022588,1.134040993,0.978275436,0.702171803,0.265571389,2.67E-08,3.40E-08,4.29E-08,5.47E-08,7.43E-08,1.41E-07
biomass_boiler,power,LU,0.04761205,0.047612052,0.047612054,0.04252298,0.042522982,0.031920669,0.017335349,0.007925945,5.20E-08,6.90E-08,8.47E-08,1.03E-07,1.24E-07,1.57E-07,2.36E-07
biomass_boiler,power,LV,1.471897275,1.419527608,1.40821648,1.256238425,1.123908727,0.792596716,0.460225986,0.289941081,0.049485111,2.66E-08,3.38E-08,4.24E-08,5.43E-08,7.39E-08,1.41E-07
biomass_boiler,power,NL,1.929924423,1.775863156,1.532695576,1.4595929,1.166044397,1.121072763,0.710416213,0.426174567,0.195160789,0.026233945,0.026233948,0.026233952,0.026233959,0.02623397,0.02623401
biomass_boiler,power,NO,1.250001776,1.1458093,1.145809301,1.072167712,0.931385698,0.804835289,0.636009391,0.444725443,0.339172319,0.202933185,0.202933188,0.202933192,0.202933199,0.202933211,0.202933251
biomass_boiler,power,PL,15.46086708,15.46086708,15.0146625,14.99352314,13.82611172,9.860498642,9.346118257,9.167138679,0.96052689,2.91E-08,3.73E-08,4.67E-08,5.94E-08,7.99E-08,1.50E-07
biomass_boiler,power,PT,0.657015615,0.616700987,0.431200106,0.295244651,0.181676369,0.059430206,0.05943021,0.016291439,0.009466618,3.21E-08,4.06E-08,5.06E-08,6.36E-08,8.44E-08,1.54E-07
biomass_boiler,power,RO,4.041978207,3.58949077,3.132539452,2.211260732,2.083791833,2.004644652,1.801883183,0.574944327,0.311147943,0.311147951,0.311147959,0.311147968,0.311147984,0.311148015,0.311148119
biomass_boiler,power,SE,1.975819872,1.823345822,1.765519523,1.569488471,0.623946092,0.623946094,0.614414501,0.489957125,0.482972166,2.71E-08,3.46E-08,4.36E-08,5.57E-08,7.54E-08,1.43E-07
biomass_boiler,power,SI,1.282297064,1.017061393,0.68985087,0.689850871,0.588412969,0.455574487,0.432746709,0.432746712,0.432746717,2.80E-08,3.60E-08,4.52E-08,5.74E-08,7.74E-08,1.45E-07
biomass_boiler,power,SK,1.391621506,1.391621507,1.386304367,1.367756982,1.297158207,1.29715821,1.205040485,1.205040491,0.021181406,5.13E-08,6.66E-08,8.40E-08,1.04E-07,1.34E-07,2.23E-07
biomass_boiler,power,UK,6.536714057,6.367950429,6.120533885,4.455774363,3.717387381,2.015813646,0.986165646,0.519942492,0.029533984,0.029533987,0.02953399,0.029533995,0.029534001,0.029534013,0.029534053
biomass_boiler_DH,power,AT,2.865062959,2.755580929,2.575737881,2.479761716,2.282376721,1.681737178,1.226625787,0.809067784,0.684690473,0.64506624,0.36398359,0.116984054,0.116984069,0.116984156,0.11698426
biomass_boiler_DH,power,BE,0.02353803,0.023538031,0.023538032,0.023538034,0.023538036,0.021801988,0.021259931,0.020819649,0.016412065,0.014466097,0.013727666,5.80E-08,7.50E-08,1.19E-07,1.84E-07
biomass_boiler_DH,power,BG,0.375377855,0.375377856,0.375377857,0.375377859,0.37537786,0.375377862,0.375377865,0.375377868,0.375377873,0.372035138,0.09868089,5.06E-08,6.93E-08,1.21E-07,4.20E-07
biomass_boiler_DH,power,CH,3.881912343,3.733573667,3.489901901,3.359862504,3.092422918,2.278608322,1.661971775,1.09621682,0.927696327,0.874008918,0.493166252,0.158503254,0.15850327,0.158503358,0.158503461
biomass_boiler_DH,power,CZ,0.51355684,0.513556841,0.513556842,0.443434788,0.443434789,0.420425026,0.40209321,0.361553339,0.180867455,0.156415926,0.121127193,4.99E-08,6.80E-08,1.18E-07,1.86E-07
biomass_boiler_DH,power,DE,2.38037521,2.380375211,2.380375212,2.006040965,1.931981473,1.768633146,1.401557131,1.047155406,0.798547965,0.519729963,0.408826559,3.72E-08,5.04E-08,7.27E-08,1.45E-07
biomass_boiler_DH,power,DK,7.278494211,7.109966425,6.87295803,6.325878924,6.089199424,5.741064815,4.815810907,3.897282561,2.967375065,2.735254979,1.301692171,0.069669748,0.069669756,0.06966977,0.069669815
biomass_boiler_DH,power,EE,1.252285858,1.234945557,1.182118881,1.168745282,1.121092393,1.113154434,0.878671397,0.739982458,0.642887332,0.286836951,0.234811984,0.013643695,0.013643703,0.013643717,0.013643763
biomass_boiler_DH,power,EL,5.94E-09,8.77E-09,1.13E-08,1.37E-08,1.64E-08,1.94E-08,2.28E-08,2.66E-08,3.12E-08,3.66E-08,4.33E-08,5.22E-08,5.90E-08,7.77E-08,1.46E-07
biomass_boiler_DH,power,ES,5.56E-09,8.43E-09,1.10E-08,1.35E-08,1.62E-08,1.92E-08,2.26E-08,2.67E-08,3.13E-08,3.69E-08,4.38E-08,5.28E-08,6.02E-08,7.93E-08,1.49E-07
biomass_boiler_DH,power,FI,3.277929724,2.81226336,2.578948286,2.376454941,2.193903651,1.922901175,1.673561712,1.285342224,0.873499815,0.82326158,0.823261585,0.382080418,4.52E-08,6.73E-08,1.39E-07
biomass_boiler_DH,power,FR,2.718771549,2.71877155,2.718771551,2.718771553,2.711496801,2.349913292,2.090399853,1.755966221,0.951292386,0.448740512,0.105477309,5.25E-08,6.99E-08,1.12E-07,1.93E-07
biomass_boiler_DH,power,HR,0.239330719,0.23933072,0.239330721,0.239330722,0.239330723,0.239330725,0.234748189,0.222658523,0.206617536,0.149474381,0.059309418,3.70E-08,5.04E-08,7.24E-08,1.45E-07
biomass_boiler_DH,power,HU,0.255338984,0.255338985,0.255338987,0.255338988,0.25533899,0.255338993,0.219881367,0.194857184,0.107640548,3.61E-08,4.66E-08,5.69E-08,7.08E-08,9.82E-08,1.93E-07
biomass_boiler_DH,power,IE,5.91E-09,8.71E-09,1.12E-08,1.38E-08,1.66E-08,1.97E-08,2.33E-08,2.75E-08,3.23E-08,3.80E-08,4.50E-08,5.40E-08,6.11E-08,8.04E-08,1.49E-07
biomass_boiler_DH,power,IT,0.847513557,0.847513558,0.847513559,0.84751356,0.847513562,0.847513564,0.847513566,0.838985307,0.217538051,0.182517436,0.014580726,3.69E-08,4.99E-08,7.16E-08,1.43E-07
biomass_boiler_DH,power,LT,1.974606275,1.974606276,1.901437959,1.766348227,1.733279236,1.585567331,1.523820794,1.302486259,0.792996902,0.319999564,0.132959151,3.65E-08,4.95E-08,7.10E-08,1.42E-07
biomass_boiler_DH,power,LU,0.326165272,0.326165273,0.326165275,0.325791421,0.323915238,0.321989272,0.31868281,0.314344442,0.281664501,0.268180957,0.184966989,4.52E-08,6.91E-08,1.79E-07,2.38E-07
biomass_boiler_DH,power,LV,1.041246298,1.041246299,1.021375578,0.997177114,0.984563815,0.965011424,0.938588997,0.880235753,0.626532243,0.423479534,0.350862196,0.09552377,0.07462118,0.074621194,0.07462124
biomass_boiler_DH,power,NL,0.348554094,0.348554095,0.348554096,0.348554097,0.348554099,0.341588738,0.334562117,0.333007039,0.333007042,0.307127664,0.198303928,3.65E-08,4.92E-08,7.07E-08,1.42E-07
biomass_boiler_DH,power,NO,0.444626903,0.444626904,0.444626905,0.444626907,0.444626908,0.43387715,0.362419663,0.292549235,0.208759698,0.122096473,0.041001238,3.65E-08,4.94E-08,7.07E-08,1.42E-07
biomass_boiler_DH,power,PL,1.263424141,1.263424142,1.263424143,1.263424144,1.263424145,1.263424147,1.042527511,0.448754519,0.448754522,0.432815675,0.422951941,3.63E-08,4.90E-08,7.05E-08,1.42E-07
biomass_boiler_DH,power,PT,8.10E-09,1.07E-08,1.32E-08,1.57E-08,1.85E-08,2.17E-08,2.55E-08,3.00E-08,3.53E-08,4.14E-08,4.86E-08,5.78E-08,6.24E-08,8.16E-08,1.50E-07
biomass_boiler_DH,power,RO,0.099501174,0.099501175,0.099501176,0.099501178,0.099501179,0.099501181,0.085066514,0.067806734,0.043528053,0.034723476,0.034723486,4.82E-08,6.89E-08,1.32E-07,2.00E-07
biomass_boiler_DH,power,SE,6.024317367,4.745895754,4.299785309,3.87154068,2.997192232,2.521955494,2.022375964,1.230975235,1.08717162,1.05324128,0.724320303,0.37166493,0.121025538,0.121025552,0.121025598
biomass_boiler_DH,power,SI,0.116592078,0.107090418,0.103494005,0.099864969,0.098450027,0.093937362,0.069353741,0.049798731,0.044141294,0.030698872,0.02248158,3.71E-08,5.01E-08,7.16E-08,1.43E-07
biomass_boiler_DH,power,SK,0.302311526,0.302311527,0.302311528,0.302311529,0.302311531,0.302311533,0.262605529,0.089472866,0.089472872,0.054135661,0.017358789,5.29E-08,6.98E-08,1.10E-07,2.07E-07
