technology,capacity_type,location,year,none
DAC,power,FR,6,2.0765246491941e-09
DAC,power,FR,7,2.5081810829993517e-09
DAC,power,FR,8,3.0325615167654635e-09
DAC,power,FR,9,3.690180333830949e-09
DAC,power,FR,10,4.1536834990884994e-09
DAC,power,FR,11,4.961845502659824e-09
DAC,power,FR,12,6.229495217286577e-09
DAC,power,FR,13,8.638594236992956e-09
DAC,power,FR,14,1.8167881188227704e-08
DAC,power,HR,0,3.6675796265802836e-10
DAC,power,HR,1,6.067057916153846e-10
DAC,power,HR,2,8.415509908431217e-10
DAC,power,HR,3,1.1019958779889438e-09
DAC,power,HR,4,1.4238207434462885e-09
DAC,power,HR,5,1.78301746507121e-09
DAC,power,HR,6,2.2126594016778237e-09
DAC,power,HR,7,2.746515656415055e-09
DAC,power,HR,8,3.4150835959986173e-09
DAC,power,HR,9,4.255997889684706e-09
DAC,power,HR,10,4.938493163257646e-09
DAC,power,HR,11,6.045445769363929e-09
DAC,power,HR,12,7.82234675589019e-09
DAC,power,HR,13,1.2405342385374948e-08
DAC,power,HR,14,3.1385253420048506e-08
DAC,power,HU,0,3.6562419245312945e-10
DAC,power,HU,1,6.058959567290666e-10
DAC,power,HU,2,8.435801790686832e-10
DAC,power,HU,3,1.1049426035409058e-09
DAC,power,HU,4,1.4079931188562088e-09
DAC,power,HU,5,1.7285839868632586e-09
DAC,power,HU,6,2.09452355046243e-09
DAC,power,HU,7,2.530363924937664e-09
DAC,power,HU,8,3.0640301795145006e-09
DAC,power,HU,9,3.732554465558302e-09
DAC,power,HU,10,4.205469031449474e-09
DAC,power,HU,11,5.019957821832412e-09
DAC,power,HU,12,6.2982530917549705e-09
DAC,power,HU,13,8.736824722690885e-09
DAC,power,HU,14,1.7562894650325052e-08
DAC,power,IE,0,3.5240396620445467e-10
DAC,power,IE,1,5.871075488064587e-10
DAC,power,IE,2,8.15650432768223e-10
DAC,power,IE,3,1.066257272973634e-09
DAC,power,IE,4,1.3567014911750617e-09
DAC,power,IE,5,1.6703275974658112e-09
DAC,power,IE,6,2.0328066241129686e-09
DAC,power,IE,7,2.4695067553767537e-09
DAC,power,IE,8,3.0053703329204595e-09
DAC,power,IE,9,3.676677802400027e-09
DAC,power,IE,10,4.16985939054204e-09
DAC,power,IE,11,5.010636226208519e-09
DAC,power,IE,12,6.34876772234762e-09
DAC,power,IE,13,8.999916650744352e-09
DAC,power,IE,14,2.3044100280622184e-08
DAC,power,IT,0,3.639190939241985e-10
DAC,power,IT,1,6.027204133955106e-10
DAC,power,IT,2,8.397578101385605e-10
DAC,power,IT,3,1.1042084194184402e-09
DAC,power,IT,4,1.4336010199675068e-09
DAC,power,IT,5,1.8043457908976692e-09
DAC,power,IT,6,2.250172135320251e-09
DAC,power,IT,7,2.809169165740373e-09
DAC,power,IT,8,3.5155398693946023e-09
DAC,power,IT,9,4.410181219981232e-09
DAC,power,IT,10,5.170861969595892e-09
DAC,power,IT,11,6.271914906450591e-09
DAC,power,IT,12,8.18652255449998e-09
DAC,power,IT,13,1.3915589935590354e-08
DAC,power,IT,14,5.029514108839171e-08
DAC,power,LT,0,3.7458962064222195e-10
DAC,power,LT,1,6.214666692367567e-10
DAC,power,LT,2,8.642656897313383e-10
DAC,power,LT,3,1.135462818808765e-09
DAC,power,LT,4,1.4800968447851737e-09
DAC,power,LT,5,1.872177686892848e-09
DAC,power,LT,6,2.3499927595569703e-09
DAC,power,LT,7,2.9602528179384746e-09
DAC,power,LT,8,3.7433764847852824e-09
DAC,power,LT,9,4.739769606097175e-09
DAC,power,LT,10,5.6089669764261675e-09
DAC,power,LT,11,6.802500538666731e-09
DAC,power,LT,12,8.935227357545809e-09
DAC,power,LT,13,1.6164909870887705e-08
DAC,power,LT,14,6.721481771610885e-08
DAC,power,LU,0,3.596439256594987e-10
DAC,power,LU,1,5.954608951574577e-10
DAC,power,LU,2,8.28857938459164e-10
DAC,power,LU,3,1.0855642904360615e-09
DAC,power,LU,4,1.3801754950186295e-09
DAC,power,LU,5,1.6928828654411417e-09
DAC,power,LU,6,2.051459094714753e-09
DAC,power,LU,7,2.47548087116213e-09
DAC,power,LU,8,2.9909589723268946e-09
DAC,power,LU,9,3.6373561464120085e-09
DAC,power,LU,10,4.090990794892931e-09
DAC,power,LU,11,4.89055699995487e-09
DAC,power,LU,12,6.142373336802648e-09
DAC,power,LU,13,8.508214110083465e-09
DAC,power,LU,14,1.7984116623777977e-08
DAC,power,LV,0,3.769075367814422e-10
DAC,power,LV,1,6.246027365347767e-10
DAC,power,LV,2,8.713730814361161e-10
DAC,power,LV,3,1.1467495020755891e-09
DAC,power,LV,4,1.4995107590008752e-09
DAC,power,LV,5,1.9029726664831976e-09
DAC,power,LV,6,2.3974456464507356e-09
DAC,power,LV,7,3.034593533194672e-09
DAC,power,LV,8,3.863193492124527e-09
DAC,power,LV,9,4.9452895211997915e-09
DAC,power,LV,10,5.972296878626024e-09
DAC,power,LV,11,7.343422324585829e-09
DAC,power,LV,12,9.597417621973971e-09
DAC,power,LV,13,1.8367965668367555e-08
DAC,power,LV,14,1.0148398725527682e-07
DAC,power,NL,0,3.5572785314696615e-10
DAC,power,NL,1,5.884579947481553e-10
DAC,power,NL,2,8.164000127929902e-10
DAC,power,NL,3,1.0675782627315212e-09
DAC,power,NL,4,1.3646784543072056e-09
DAC,power,NL,5,1.6934781159094845e-09
DAC,power,NL,6,2.081183933710958e-09
DAC,power,NL,7,2.55170905497567e-09
DAC,power,NL,8,3.130081891219827e-09
DAC,power,NL,9,3.852327725549741e-09
DAC,power,NL,10,4.40411983341745e-09
DAC,power,NL,11,5.301532603413726e-09
DAC,power,NL,12,6.745610901199833e-09
DAC,power,NL,13,9.838338936751771e-09
DAC,power,NL,14,2.4337739403740844e-08
DAC,power,NO,0,3.769701756549202e-10
DAC,power,NO,1,6.192604753778732e-10
DAC,power,NO,2,8.608492316535282e-10
DAC,power,NO,3,1.1319458393852488e-09
DAC,power,NO,4,1.4768563409251821e-09
DAC,power,NO,5,1.8718681911429676e-09
DAC,power,NO,6,2.3546487088439764e-09
DAC,power,NO,7,2.973713282323234e-09
DAC,power,NO,8,3.772295992702486e-09
DAC,power,NO,9,4.7895424668324934e-09
DAC,power,NO,10,5.6842145964309865e-09
DAC,power,NO,11,6.907416448568831e-09
DAC,power,NO,12,9.130361592563338e-09
DAC,power,NO,13,1.7567282209387972e-08
DAC,power,NO,14,1.5967691335823123e-07
DAC,power,PL,0,3.60513812130262e-10
DAC,power,PL,1,5.958982664241993e-10
DAC,power,PL,2,8.284928875959567e-10
DAC,power,PL,3,1.0881846330453244e-09
DAC,power,PL,4,1.4050640061747132e-09
DAC,power,PL,5,1.7566261370410001e-09
DAC,power,PL,6,2.174978070315808e-09
DAC,power,PL,7,2.690391895323002e-09
DAC,power,PL,8,3.3315093844417472e-09
DAC,power,PL,9,4.13636461474643e-09
DAC,power,PL,10,4.779212413337401e-09
DAC,power,PL,11,5.804758009592178e-09
DAC,power,PL,12,7.464559830797912e-09
DAC,power,PL,13,1.1381634951003025e-08
DAC,power,PL,14,2.8396268380650787e-08
